DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-01-01,,,,,,,,,9258.5
4,2024-01-02,2304,3531,5835,529,1154,1683,7518,22.39%,
5,2024-01-03,3111,3514,6625,896,1420,2316,8942,25.90%,
6,2024-01-04,2374,5081,7455,450,1251,1701,9156,18.58%,
7,2024-01-05,3570,5590,9160,1062,1196,2258,11418,19.78%,
3,2024-01-08,1659,2345,4004,228,740,968,4971,19.47%,8246.4
4,2024-01-09,1593,3058,4651,327,700,1027,5678,18.09%,
5,2024-01-10,1773,2860,4633,363,514,877,5510,15.92%,
6,2024-01-11,2252,5390,7642,446,1721,2167,9809,22.09%,
7,2024-01-12,4982,6390,11372,2238,1653,3891,15264,25.49%,
3,2024-01-15,1330,2362,3692,169,795,964,4656,20.70%,8420.6
4,2024-01-16,2428,2657,5085,627,715,1342,6427,20.88%,
5,2024-01-17,2000,3803,5803,258,1512,1770,7573,23.37%,
6,2024-01-18,2518,5261,7779,596,1835,2431,10210,23.81%,
7,2024-01-19,3971,5441,9413,1111,2713,3824,13237,28.89%,
3,2024-01-22,1147,3000,4145,254,453,707,4852,14.57%,8051
4,2024-01-23,1687,2091,3778,212,1466,1678,5456,30.76%,
5,2024-01-24,1476,2450,3926,310,1104,1414,5340,26.48%,
6,2024-01-25,3196,4914,8110,523,2372,2895,11005,26.31%,
7,2024-01-26,4609,5937,10546,785,2271,3056,13602,22.47%,
3,2024-01-29,1475,2763,4238,653,1224,1877,6115,30.70%,8507.2
4,2024-01-30,1691,2190,3881,358,734,1092,4973,21.96%,
5,2024-01-31,1060,2866,3926,238,1000,1238,5164,23.97%,
6,2024-02-01,1897,6680,8577,612,2870,3482,12059,28.87%,
7,2024-02-02,4695,5571,10266,1042,2917,3959,14225,27.83%,
3,2024-02-05,1777,1622,3399,685,391,1076,4475,24.04%,8117.6
4,2024-02-06,1473,2463,3936,142,796,938,4874,19.24%,
5,2024-02-07,1459,3355,4814,450,1318,1768,6582,26.86%,
6,2024-02-08,2506,5753,8260,628,1647,2275,10535,21.59%,
7,2024-02-09,4813,6301,10484,1230,2408,3638,14122,25.76%,
3,2024-02-19,1557,2509,4066,383,815,1198,5264,22.76%,9613
4,2024-02-20,1991,2416,4407,292,799,1091,5498,19.84%,
5,2024-02-21,1885,4704,6589,448,2449,2897,9486,30.54%,
6,2024-02-22,2971,5003,7974,722,1642,2364,10339,22.86%,
7,2024-02-23,5335,6906,12241,1455,3781,5236,17478,29.96%,
3,2024-02-26,2056,3079,5135,554,884,1438,6573,21.88%,8649
4,2024-02-27,1622,1802,3424,239,1702,1941,5365,36.18%,
5,2024-02-28,1504,4450,5954,533,2131,2664,8618,30.91%,
6,2024-03-01,3066,5045,8111,509,1683,2192,10303,21.28%,
7,2024-03-02,4033,4685,8719,1269,2398,3667,12386,29.61%,
3,2024-03-05,2099,3098,5197,410,1470,1880,7077,26.56%,9225.6
4,2024-03-06,2279,3274,5554,345,1167,1512,7066,21.40%,
5,2024-03-07,1807,3408,5215,510,1594,2104,7320,28.74%,
6,2024-03-08,2987,5937,8925,647,2501,3148,12073,26.07%,
7,2024-03-09,3899,6234,10133,588,1876,2464,12592,19.57%,
3,2024-03-12,1789,3347,5136,912,1122,2034,7170,28.37%,10771.8
4,2024-03-13,1536,3598,5134,535,1647,2182,7316,29.83%,
5,2024-03-14,2404,5757,8161,458,1719,2177,10338,21.06%,
6,2024-03-15,3607,7144,10751,707,3182,3889,14640,26.56%,
7,2024-03-16,4218,7232,11450,538,2407,2945,14395,20.46%,
3,2024-03-19,2236,3116,5382,174,1467,1641,7023,23.37%,11230.2
4,2024-03-20,2215,3405,5621,674,1542,2216,7837,28.28%,
5,2024-03-21,3232,4548,7781,481,2079,2560,10341,24.76%,
6,2024-03-22,3645,5808,9454,831,2489,3320,12774,25.99%,
7,2024-03-23,5170,7597,12767,1735,3674,5409,18176,29.76%,
3,2024-03-26,2212,3034,5247,494,718,1212,6459,18.76%,9864.4
4,2024-03-27,1735,3822,5557,347,1872,2219,7776,28.54%,
5,2024-03-28,3249,4443,7693,421,1280,1701,9393,18.11%,
6,2024-03-29,3064,6340,9405,473,1770,2243,11648,19.26%,
7,2024-03-30,5086,5453,10540,1361,2145,3506,14046,24.96%,
3,2024-04-02,1832,2530,4363,408,1219,1627,5991,27.16%,9252.4
4,2024-04-03,2827,3306,6133,686,1237,1923,8056,23.87%,
5,2024-04-04,2027,3862,5889,,,1893,7782,24.33%,
6,2024-04-05,2197,5180,7378,853,2267,3120,10499,29.72%,
7,2024-04-06,4190,6172,10362,1914,1658,3572,13934,25.64%,
3,2024-04-09,1551,1905,3456,623,747,1370,4826,28.39%,8548.6
