DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-12-31,,,,,,,,,11453
4,2024-01-01,,,,,,,,,
5,2024-01-02,3321,4214,7535,,,,10068,,
6,2024-01-03,3113,4658,7771,,,,11110,,
7,2024-01-04,4284,5587,9872,,,,13181,,
3,2024-01-07,1738,2974,4712,,,,5881,,9104.8
4,2024-01-08,1451,2425,4876,,,,6381,,
5,2024-01-09,1654,3334,4987,,,,6400,,
6,2024-01-10,2744,7995,10739,,,,14380,,
7,2024-01-11,3824,5662,9486,,,,12482,,
3,2024-01-14,1542,2561,4103,,,,5444,,9723
4,2024-01-15,1971,2251,4222,,,,5653,,
5,2024-01-16,1444,3159,4603,,,,7294,,
6,2024-01-17,3208,6320,9258,,,,11724,,
7,2024-01-18,5909,6820,12729,,,,18500,,
3,2024-01-21,1412,2192,3605,,,,4225,,8693
4,2024-01-22,2065,2434,4499,,,,5605,,
5,2024-01-23,1817,2664,4481,,,,6232,,
6,2024-01-24,2094,5619,7713,,,,11186,,
7,2024-01-25,5467,6244,11711,,,,16217,,
3,2024-01-28,1708,2605,4313,,,,5243,,9290.6
4,2024-01-29,2002,3058,5060,,,,6244,,
5,2024-01-30,2224,2502,4726,,,,6148,,
6,2024-01-31,2569,6086,8655,,,,12995,,
7,2024-02-01,5826,5871,11697,,,,15823,,
3,2024-02-04,1517,1789,3306,,,,4973,,8331
4,2024-02-05,1937,2242,4179,,,,5242,,
5,2024-02-06,1882,2799,4681,,,,5833,,
6,2024-02-07,2942,6268,9211,,,,12020,,
7,2024-02-08,4604,6058,10663,,,,13587,,
3,2024-02-11,1985,2396,4381,,,,5662,,10874.2
4,2024-02-12,1904,3359,5264,,,,6495,,
5,2024-02-13,2434,3420,5854,,,,8439,,
6,2024-02-14,2899,6618,9517,,,,14475,,
7,2024-02-15,5495,7366,12862,,,,19300,,
3,2024-02-18,1406,2379,3786,,,,5154,,9265
4,2024-02-19,2098,2905,5003,,,,7355,,
5,2024-02-20,2382,2883,5265,,,,7344,,
6,2024-02-21,2934,5139,8073,,,,11206,,
7,2024-02-22,4322,6735,11058,,,,15266,,
3,2024-02-25,1670,1930,3600,,,,4491,,9280.6
4,2024-02-26,2039,2822,4861,,,,6915,,
5,2024-02-27,2147,3370,5517,,,,7763,,
6,2024-02-28,3625,5146,8772,,,,12201,,
7,2024-02-29,4783,5614,10397,,,,15033,,
3,2024-03-03,2132,3090,5222,,,,6839,,9549.6
4,2024-03-04,1815,3141,4956,,,,6710,,
5,2024-03-05,2112,3593,5705,,,,7798,,
6,2024-03-06,2518,5627,8145,,,,11631,,
7,2024-03-07,3657,6890,10547,,,,14770,,
3,2024-03-10,2305,3151,5456,,,,7135,,10285.2
4,2024-03-11,1935,3954,5889,,,,7792,,
5,2024-03-12,2412,4080,6492,,,,8808,,
6,2024-03-13,5379,5925,11304,,,,14530,,
7,2024-03-14,3683,6330,10013,,,,13161,,
3,2024-03-17,1213,2104,3318,,,,3439,,4986.6
4,2024-03-18,1443,2456,3899,,,,3899,,
5,2024-03-19,1345,2479,3824,,,,3824,,
6,2024-03-20,2505,4615,7120,,,,7120,,
7,2024-03-21,2755,3895,6651,,,,6651,,
