DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-01-05,987,1383,2370,810,1709,2519,4889.59,51.52%,7367.74
4,2024-01-06,708,1298,2000,1015,1423,2438,4438.95,54.92%,
5,2024-01-07,1149,1598,2747,988,2728,3716,6463.74,57.49%,
6,2024-01-08,1372,2534,3906,1682,4265,5947,9853.77,60.35%,
7,2024-01-09,2572,1697,4269,2468,4095,6563,11192.65,58.64%,
3,2024-01-12,1389,1039,2424,541,1253,1794,4218.64,42.53%,7742.676
4,2024-01-13,1214,1656,2870,1128,1553,2681,5551.83,48.29%,
5,2024-01-14,1033,2001,3034,809,1780,2589,5622.96,46.04%,
6,2024-01-15,1543,2939,4482,1274,4935,6209,10691.65,58.07%,
7,2024-01-16,3101,2910,6011,3095,3521,6616,12628.3,52.39%,
3,2024-01-19,893,1675,2568,661,758,1419,3987.71,35.58%,7810.812
4,2024-01-20,1286,1948,3234,719,1530,2249,5483.9,41.01%,
5,2024-01-21,1422,1784,3206,665,1751,2416,5621.57,42.98%,
6,2024-01-22,1502,4358,5860,1559,3886,5446,11306.03,48.17%,
7,2024-01-23,3032,3681,6713,2260,3682,5942,12654.85,46.95%,
3,2024-01-26,954,1582,2536,923,1329,2252,4789,47.02%,8180.896
4,2024-01-27,1213,1001,2214,1081,1427,2508,4722,53.11%,
5,2024-01-28,1201,1793,2994,1009,1708,2717,5711.28,47.57%,
6,2024-01-29,1317,3556,4873,2212,5285,7497,12371.43,60.60%,
7,2024-01-30,3228,3837,7065,2667,3578,6246,13310.77,46.92%,
3,2024-02-02,905.8,895.9,1801.7,1094.21,1201.82,2296.03,4097.73,56.03%,6128.65
4,2024-02-03,611.95,974.16,1586.11,677.48,825.05,1502.53,3088.64,48.65%,
5,2024-02-04,857.4,1648.1,2505.5,730.35,1458.04,2188.39,4693.89,46.62%,
6,2024-02-05,1277.1,2888.1,4165.2,1395.93,3705.08,5101.01,9266.21,55.05%,
7,2024-02-06,2743.45,1798.15,4541.6,2547.81,2407.37,4955.18,9496.78,52.18%,
3,2024-02-09,1021.4,1125.74,2147.14,968.17,1594.31,2562.48,4709.62,54.41%,7669.396
4,2024-02-10,960,1355,2315,843,1278,2121,4437.14,47.80%,
5,2024-02-11,1115,2323,3438,646,1936,2582,6019.99,42.89%,
6,2024-02-12,1318,2795,4114,1641,4204,5846,9965.1,58.66%,
7,2024-02-13,2802,4190,6992,2259,3962,6222,13215.13,47.08%,
3,2024-02-16,917,1457,2374,685,1487,2172,4547.48,47.76%,7935.542
4,2024-02-17,1321,1549,2871,767,1322,2090,4960.91,42.13%,
5,2024-02-18,1068,1429,2497,981,2016,2997,5494.77,54.54%,
6,2024-02-19,1118,3898,5016,1497,4459,5956,10973.03,54.28%,
7,2024-02-20,2921,3668,5690,2941,4170,7112,13701.52,51.91%,
3,2024-02-23,1187,1467,2654,1282,1862,3144,5798.58,54.22%,8250.47
4,2024-02-24,1398,1328,2726,801,1384,2188,4915.1,44.52%,
5,2024-02-25,1133,1612,2744,1528,1560,3089,5833.39,52.95%,
6,2024-02-26,2025,3428,5454,1474,4369,5843,11297.56,51.72%,
7,2024-02-27,2919,3730,6649,2422,4336,6758,13407.72,50.40%,
3,2024-03-02,1144,1017,2161,968,1512,2480,4641.67,53.43%,8539.39
4,2024-03-03,1600,1630,3231,975,1642,2617,5847.86,44.75%,
5,2024-03-04,1425,2845,4270,1669,1733,3402,7672.32,44.34%,
6,2024-03-05,1607,3395,5002,1425,4572,5997,10999,54.52%,
7,2024-03-06,2772,3846,6619,2607,4310,6917,13536.1,51.10%,
3,2024-03-09,1391,2495,3887,1158,1914,3072,6959.63,44.14%,10249.35
4,2024-03-10,1600,2617,4217,1806,2128,3934,8151.43,48.26%,
5,2024-03-11,1645,2873,4518,1425,1727,3152,7669.86,41.10%,
6,2024-03-12,1976,4765,6741,1642,4792,6435,13176.4,48.84%,
7,2024-03-13,3473,3776,7249,3357,4683,8040,15289.43,52.59%,
3,2024-03-16,1999,2743,4743,1509,1685,3194,7937.06,40.24%,10214.504
4,2024-03-17,1782,2339,4121,1761,2540,4301,8422.96,51.06%,
5,2024-03-18,1840,2259,4099,1805,2124,3929,8028.73,48.94%,
6,2024-03-19,2300,3946,6246,2254,4082,6336,12582.09,50.36%,
7,2024-03-20,3463,3818,7281,3180,3640,6820,14101.68,48.36%,
3,2024-03-23,1629,1907,3537,1185,1589,2775,6311.68,43.97%,8855.588
4,2024-03-24,1240,1972,3212,1223,1954,3178,6389.58,49.74%,
5,2024-03-25,1798,1780,3578,1091,1699,2791,6368.63,43.82%,
6,2024-03-26,1923,3665,5588,3828,4084,7913,13501.41,58.61%,
7,2024-03-27,2622,4283,6905,1644,3158,4801,11706.64,41.01%,
3,2024-03-30,1046,1942,2988,776,1529,2305,5293.44,43.54%,8873.532
4,2024-03-31,2123,2350,4474,1062,1721,2783,7257.46,38.35%,
5,2024-04-01,2066,3547,5613,555,1729,2284,7896.84,28.92%,
6,2024-04-02,2412,4932,7344,1053,3578,4631,11975,38.67%,
7,2024-04-03,3138,4698,7836,1212,2896,4108,11944.92,34.39%,
3,2024-04-06,2003,2417,4420,619,1413,2032,6452,31.49%,9258.352
4,2024-04-07,1685,2380,4065,960,2303,3263,7328,44.53%,
5,2024-04-08,1905,3166,5071,696,1424,2120,7192.04,29.48%,
6,2024-04-09,2675,4980,7655,964,3828,4793,12448.08,38.50%,
7,2024-04-10,2987,4390,7377,1666,3827,5452,12871.64,42.36%,
3,2024-04-13,1254,2212,3466,849,772,1621,5086.63,31.87%,8655.186
4,2024-04-14,1742,2192,3933,812,1378,2191,6124.49,35.77%,
5,2024-04-15,1226,2813,4039,1008,1577,2586,6624.9,39.03%,
6,2024-04-16,2090,3959,6049,1166,3401,4567,10616.84,43.02%,
7,2024-04-17,3760,5024,8784,2139,3899,6039,14823.07,40.74%,
3,2024-04-20,1825,2739,4565,646,1592,2239,6804.41,32.91%,9588.294
4,2024-04-21,1968,2443,4411,924,1215,2139,6550.76,32.65%,
5,2024-04-22,2178,2677,4855,1223,1903,3127,7982,39.18%,
6,2024-04-23,2325,4645,6969,1437,3485,4923,11893.28,41.39%,
7,2024-04-24,3708,5115,8823,2359,3529,5888,14711.02,40.02%,
3,2024-04-27,2022,2812,4834,966,2116,3083,7916.69,38.94%,11390.882
4,2024-04-28,1855,3476,5331,776,2269,3045,8376.52,36.35%,
5,2024-04-29,2131,3937,6068,988,2748,3736,9803.84,38.11%,
6,2024-04-30,2623,5182,7805,1653,4536,6189,13994.92,44.22%,
7,2024-05-01,4458,5504,9963,2630,4269,6899,16862.44,40.91%,
3,2024-05-04,1642,2450,4092,716,1725,2441,6533.7,37.36%,9166.548
4,2024-05-05,1465,2101,3567,920,1413,2333,5900.79,39.54%,
5,2024-05-06,1956,2291,4247,796,2411,3207,7454.41,43.02%,
6,2024-05-07,2457,5465,7922,1973,3564,5537,13459.76,41.14%,
7,2024-05-08,3246,4205,7452,1390,3642,5032,12484.08,40.31%,
3,2024-05-11,1376,2412,3788,674,1169,1843,5632,32.72%,8848.464
4,2024-05-12,2075,2013,4088,981,1363,2344,6431.42,36.45%,
5,2024-05-13,1530,3062,4592,865,1725,2590,7181.84,36.06%,
6,2024-05-14,2590,4790,7380,1110,3232,4342,11722.05,37.04%,
7,2024-05-15,3058,5117,8175,1833,3267,5100,13275.01,38.42%,
3,2024-05-18,1516,3133,4649,1290,1784,3074,7724,39.80%,8870.21
4,2024-05-19,1326,2365,3691,767,2009,2776,6467.19,42.92%,
5,2024-05-20,2090,2740,4830,749,1885,2635,7465.05,35.30%,
6,2024-05-21,2084,4415,6499,1093,3275,4368,10867.32,40.19%,
7,2024-05-22,3448,3981,7429,1768,2630,4398,11827.49,37.18%,
