DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-05-14,2517,3954,6472,,,2562,9034,28.36%,12551.2
4,2024-05-15,1613,3967,5580,,,3189,8769,36.37%,
5,2024-05-16,2675,4698,7374,,,3932,11307,34.77%,
6,2024-05-17,4127,7223,11351,,,5177,16528,31.32%,
7,2024-05-18,4644,6811,11465,,,5653,17118,33.02%,
3,2024-05-21,2018,5057,7175,,,3057,10133,30.17%,14174.4
4,2024-05-22,4327,3528,7855,,,3675,11531,31.87%,
5,2024-05-23,2558,5174,7733,,,5072,12805,39.61%,
6,2024-05-24,5000,5794,9994,,,7447,17441,42.70%,
7,2024-05-25,4902,6637,11539,,,7422,18962,39.14%,
3,2024-05-28,2413,4951,7364,,,3203,10568,30.31%,12837.6
4,2024-05-29,2509,4475,6985,,,2317,9302,24.91%,
5,2024-05-30,2509,4433,6942,,,4385,11328,38.71%,
6,2024-05-31,2845,6274,9120,,,6125,15245,40.18%,
7,2024-06-01,4590,6503,11093,,,6651,17745,37.48%,
3,2024-06-04,2548,4293,6841,,,2855,9697,29.44%,12500.2
4,2024-06-05,2485,4259,6745,,,3912,10657,36.71%,
5,2024-06-06,2124,5112,7236,,,3737,10973,34.06%,
6,2024-06-07,2718,6202,8921,,,6555,15476,42.36%,
7,2024-06-08,4884,5777,10661,,,5036,15698,32.08%,
3,2024-06-11,2882,2921,5803,,,3212,9016,35.63%,9663.666667
4,2024-06-12,2320,3854,6174,,,2925,9099,32.15%,
5,2024-06-13,2654,4564,7218,,,3657,10876,33.62%,
6,2024-06-14,,,,,,,,,
7,2024-06-15,,,,,,,,,
