DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-01-03,1784,3348,5132,1131,1339,2470,7602,32.49%,11210.8
4,2024-01-04,2352,2672,5024,864,1920,2784,7807,35.66%,
5,2024-01-05,2523,4391,6914,863,1725,2588,9502,27.24%,
6,2024-01-06,2693,5388,8081,1407,3634,5041,13122,38.42%,
7,2024-01-07,4460,6965,11425,2459,4137,6596,18021,36.60%,
3,2024-01-10,2610,2995,5605,960,2608,3568,9174,38.89%,12264
4,2024-01-11,1723,3117,4840,1010,1626,2636,7476,35.26%,
5,2024-01-12,2550,3366,5917,1153,2878,4031,10464,38.52%,
6,2024-01-13,4221,6336,10558,1665,4676,6341,16899,37.52%,
7,2024-01-14,4873,5556,10429,3016,3862,6879,17307,39.75%,
3,2024-01-17,1560,2566,4127,687,1236,1993,6049,32.95%,10042.2
4,2024-01-18,1879,2407,4286,1318,1171,2489,6774,36.74%,
5,2024-01-19,2514,2895,5408,975,1263,2237,7646,29.26%,
6,2024-01-20,2578,4813,7391,1372,4108,5480,12872,42.57%,
7,2024-01-21,4944,4733,9677,3741,3451,7193,16870,42.64%,
3,2024-01-24,2466,3118,5684,897,1724,2621,8305,31.56%,12235.8
4,2024-01-25,1954,3198,5152,1261,2377,3638,8790,41.39%,
5,2024-01-26,1819,2997,4816,1300,1298,2598,7414,35.04%,
6,2024-01-27,3705,6094,9799,1172,5121,6294,16093,39.11%,
7,2024-01-28,5597,6914,12511,3803,4263,8065,20577,39.19%,
3,2024-01-31,2750,2776,5526,586,1816,2402,7928,30.30%,11909.8
4,2024-02-01,2105,2733,4838,1198,2087,3286,8124,40.45%,
5,2024-02-02,2488,3839,6327,967,2263,3231,9558,33.80%,
6,2024-02-03,2999,6638,9637,1460,3558,5019,14656,34.25%,
7,2024-02-04,5374,7390,12755,3109,3419,6528,19283,33.85%,
3,2024-02-07,1848,2572,4421,754,1267,2020,6442,31.36%,11875.4
4,2024-02-08,2229,3239,5468,858,1828,2707,8175,33.11%,
5,2024-02-09,3188,3990,7178,1142,1816,2958,10136,29.18%,
6,2024-02-10,5212,5837,11049,1680,4894,6574,17623,37.30%,
7,2024-02-11,5223,5020,10243,3585,3173,6758,17001,39.75%,
3,2024-02-14,2587,3961,6548,1497,1692,3189,9738,32.75%,12607.8
4,2024-02-15,2288,2839,5127,1275,1664,2939,8066,36.44%,
