DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
5,2024-02-16,2875,3605,6480,861,2710,3571,10051,35.53%,
6,2024-02-17,2977,5900,8878,1977,3749,5726,14603,39.21%,
7,2024-02-18,5624,6292,11916,3958,4707,8664,20581,42.10%,
3,2024-02-21,2638,3724,6362,1091,2855,3945,10308,38.27%,13476.4
4,2024-02-22,2932,3557,6489,1323,2104,3427,9916,34.56%,
5,2024-02-23,3137,2799,5936,1285,2003,3288,9224,35.65%,
6,2024-02-24,4422,6037,10459,2296,4340,6636,17096,38.82%,
7,2024-02-25,4951,7236,12187,3918,4732,8651,20838,41.52%,
3,2024-02-28,2487,4343,6831,898,1845,2743,9574,28.65%,13879.6
4,2024-03-01,2241,3850,6091,1082,2250,3332,9423,35.36%,
5,2024-03-02,2887,4460,7347,1310,2364,3675,11022,33.34%,
6,2024-03-03,2738,7205,9942,2146,5470,7616,17559,43.37%,
7,2024-03-04,5925,7273,13198,4719,3903,8622,21820,39.51%,
3,2024-03-07,3023,4615,7638,1445,3719,5164,12802,40.34%,14471.4
4,2024-03-08,2861,4052,6913,1444,2832,4276,11189,38.22%,
5,2024-03-09,2661,4909,7570,1096,2615,3712,11282,32.90%,
6,2024-03-10,4256,6575,10831,1751,4927,6678,17508,38.14%,
7,2024-03-11,5489,5953,11442,3058,5076,8134,19576,41.55%,
3,2024-03-14,3830,4465,8295,1660,3246,4906,13201,37.16%,13222.4
4,2024-03-15,3353,4216,7569,1713,2161,3874,11442,33.86%,
5,2024-03-16,3194,4826,8020,1310,3123,4433,12453,35.60%,
6,2024-03-17,3463,4758,8221,1756,3609,5365,13586,39.49%,
7,2024-03-18,5001,4576,9577,3030,2823,5853,15430,37.93%,
3,2024-03-21,3055,3657,6712,1801,2241,4042,10754,37.59%,13355.8
4,2024-03-22,3057,5078,8135,1161,3195,4357,12491,34.88%,
5,2024-03-23,2656,3823,6479,877,1487,2364,8843,26.73%,
6,2024-03-24,3126,6448,9574,1372,4786,6158,15732,39.14%,
7,2024-03-25,5979,5845,11824,2153,4978,7134,18959,37.63%,
3,2024-03-28,2067,3211,5278,827,1740,2566,7844,32.71%,12687
4,2024-03-29,2704,3954,6658,1553,3192,4745,11403,41.61%,
5,2024-03-30,2534,4029,6563,946,2666,3612,10175,35.50%,
6,2024-03-31,4158,5952,10111,1723,4923,6645,16756,39.66%,
7,2024-04-01,3916,6614,10529,2620,4107,6727,17257,38.98%,
3,2024-04-04,1869,3852,5721,923,2025,2948,8668,34.01%,12706.4
4,2024-04-05,2987,3486,6472,1344,2608,3952,10424,37.91%,
5,2024-04-06,2481,4404,6885,1421,1281,2702,9587,28.18%,
6,2024-04-07,4000,5869,9869,1761,5600,7361,17230,42.72%,
7,2024-04-08,5157,6602,11758,2273,3591,5864,17623,33.27%,
3,2024-04-11,2339,2972,5312,1193,2052,3245,8557,37.92%,12808.6
4,2024-04-12,2181,3660,5841,1243,2585,3828,9669,39.59%,
5,2024-04-13,2436,4194,6627,1698,2602,4297,10924,39.34%,
6,2024-04-14,3307,6372,9678,2387,4861,7248,16927,42.82%,
7,2024-04-15,5027,6747,11774,1729,4463,6192,17966,34.47%,
3,2024-04-18,2191,3420,5611,948,2572,3520,9131,38.55%,12150.8
4,2024-04-19,2435,2800,5235,1180,1670,2850,8085,35.25%,
5,2024-04-20,2639,4109,6748,1356,2017,3374,10121,33.34%,
6,2024-04-21,3640,6117,9757,1555,3749,5305,15063,35.22%,
7,2024-04-22,6059,5523,11581,2960,3812,6772,18354,36.90%,
3,2024-04-25,1979,4132,6111,1132,1716,2848,8959,31.79%,12105.4
4,2024-04-26,3658,3708,7365,1009,2731,3740,11106,33.68%,
5,2024-04-27,2359,4382,6740,1005,2659,3665,10405,35.22%,
6,2024-04-28,3113,5350,8463,1270,3091,4361,12824,34.01%,
7,2024-04-29,4884,6102,10987,2950,3296,6246,17233,36.24%,
3,2024-05-02,2794,5042,7836,1045,2289,3333,11169,29.84%,16711.8
4,2024-05-03,3591,4479,8070,1308,2673,3981,12051,33.03%,
5,2024-05-04,4351,7386,11737,1674,3772,5446,17182,31.70%,
6,2024-05-05,5586,9045,14630,2473,4159,6632,21263,31.19%,
7,2024-05-06,7483,8144,15627,3320,2946,6266,21894,28.62%,
3,2024-05-09,2354,4496,6850,1266,1831,3097,9947,31.14%,12565.8
4,2024-05-10,2431,3722,6154,1414,2551,3964,10118,39.18%,
5,2024-05-11,2565,4009,6574,866,3255,4121,10696,38.53%,
6,2024-05-12,3812,6494,10306,1231,4758,5989,16295,36.75%,
7,2024-05-13,4904,6023,10927,1911,2935,4846,15773,30.72%,
3,2024-05-16,2035,3225,5260,1035,1885,2920,8181,35.69%,12351.4
4,2024-05-17,3219,4250,7469,1417,2092,3509,10978,31.96%,
5,2024-05-18,1985,4747,6732,1474,2488,3962,10694,37.05%,
6,2024-05-19,3957,5765,9723,2240,5026,7266,16989,42.77%,
7,2024-05-20,4347,6133,10481,1915,2518,4434,14915,29.73%,
3,2024-05-23,2542,3363,5905,762,1683,2446,8351,29.29%,12837
4,2024-05-24,2334,3826,6160,1214,3812,4925,11086,44.43%,
5,2024-05-25,2370,4647,7017,1246,2375,3622,10638,34.05%,
6,2024-05-26,3548,6428,9977,1642,5084,6726,16703,40.27%,
7,2024-05-27,4212,6806,11018,2218,4170,6388,17407,36.70%,
3,2024-05-30,2794,3477,6270,1169,1307,2476,8747,28.31%,13275.8
4,2024-05-31,2383,5000,6483,1773,2452,4225,10708,39.46%,
5,2024-06-01,2981,4885,7866,864,4227,5091,12958,39.29%,
6,2024-06-02,4893,6789,11682,1559,3928,5487,17170,31.96%,
7,2024-06-03,4623,6388,11011,2799,2985,5785,16796,34.44%,
3,2024-06-06,3136,3626,6763,1032,1992,3024,9787,30.90%,12976
4,2024-06-07,2864,4167,7031,1144,1378,2522,9553,26.40%,
5,2024-06-08,3160,3980,7141,1060,2630,3690,10831,34.07%,
6,2024-06-09,3654,6203,9857,1870,5144,7014,16871,41.57%,
7,2024-06-10,5061,7006,12067,2470,3301,5771,17838,32.35%,
3,2024-06-13,2748,3867,6615,814,1670,2484,9099,27.30%,12595.2
4,2024-06-14,2845,3682,6527,1171,2673,3845,10372,37.07%,
5,2024-06-15,3847,4170,8017,1279,2040,3319,11336,29.28%,
6,2024-06-16,3058,6201,9259,1897,4200,6097,15356,39.70%,
7,2024-06-17,4140,5887,10027,2393,4393,6786,16813,40.36%,
3,2024-06-20,2207,4189,6396,1169,1788,2957,9354,31.61%,12118.8
4,2024-06-21,2642,3142,5784,1260,1630,2890,8674,33.32%,
5,2024-06-22,2867,3997,6864,1139,2750,3890,10753,36.18%,
6,2024-06-23,3525,5733,9258,1895,4666,6561,15819,41.48%,
7,2024-06-24,4756,5412,10198,1566,4230,5796,15994,36.24%,
3,2024-06-27,2809,4012,6821,1075,1970,3046,9867,30.87%,13283.2
4,2024-06-28,2820,4363,7184,1446,2404,3850,11034,34.89%,
5,2024-06-29,3241,4883,8124,1427,1620,3048,11171,27.28%,
6,2024-06-30,4107,6125,10292,2044,4366,6410,16702,38.38%,
7,2024-07-01,4973,6440,11413,2535,3664,6199,17642,35.14%,
3,2024-07-04,2460,2790,5250,1582,1099,2681,7931,33.80%,12093.2
4,2024-07-05,3175,4510,7685,881,2299,3180,10866,29.27%,
5,2024-07-06,2685,4368,7053,1453,2224,3678,10731,34.27%,
6,2024-07-07,3741,5530,9271,1591,3841,5433,14704,36.95%,
7,2024-07-08,3781,6206,9987,2295,3951,6246,16234,38.47%,
3,2024-07-11,3739,4320,8060,1353,2512,3865,11925,32.41%,14217.2
4,2024-07-12,2683,4384,7067,1118,3365,4483,11551,38.81%,
5,2024-07-13,2651,4863,7514,1564,3060,4624,12139,38.09%,
6,2024-07-14,3035,6855,9890,1951,5044,6995,16885,41.43%,
7,2024-07-15,4478,6964,11443,2587,4556,7143,18586,38.43%,
3,2024-07-18,2335,4409,6744,1236,2341,3576,10321,34.65%,13302.6
4,2024-07-19,3169,4410,7580,1283,1985,3268,10848,30.13%,
5,2024-07-20,3079,4592,7672,1123,2244,3366,11038,30.49%,
6,2024-07-21,3973,6940,10913,1888,4026,5914,16827,35.15%,
7,2024-07-22,4571,6495,11066,1629,4783,6412,17479,36.68%,
3,2024-07-25,3062,3609,6671,1726,1705,3431,10103,33.96%,12971.2
4,2024-07-26,3546,4095,7641,1571,1571,3142,10783,29.14%,
5,2024-07-27,2195,4905,7099,1277,2564,3841,10940,35.11%,
6,2024-07-28,3235,5884,9119,1386,4608,5995,15115,39.66%,
7,2024-07-29,5087,6626,11714,2592,3608,6201,17915,34.61%,
3,2024-08-01,3164,3980,7144,1724,2407,4131,11276,36.64%,12572.4
4,2024-08-02,3163,4258,7422,1514,2291,3805,11227,33.89%,
5,2024-08-03,2673,3976,6670,1102,1539,2641,9311,28.36%,
6,2024-08-04,2947,6129,9077,1591,3539,5131,14208,36.11%,
7,2024-08-05,3998,6718,10716,2743,3381,6124,16840,36.37%,
3,2024-08-08,3239,4762,8001,1698,1803,3502,11503,30.44%,13800.2
4,2024-08-09,3021,3646,6668,872,1590,2462,9130,26.97%,
5,2024-08-10,2078,5139,7217,1381,3260,4641,11858,39.14%,
6,2024-08-11,3674,7145,10820,1411,4352,5763,16583,34.75%,
7,2024-08-12,5388,7115,12503,2836,3888,6724,19927,33.74%,
3,2024-08-15,2672,3369,6041,1475,1728,3203,9244,34.65%,15462.4
4,2024-08-16,3138,4668,7806,1553,2547,4100,11907,34.43%,
5,2024-08-17,3928,5467,9395,1551,2253,3804,13199,28.82%,
6,2024-08-18,4845,7661,12506,1729,5046,6775,19282,35.14%,
7,2024-08-19,6594,7598,14192,3825,5663,9488,23680,40.07%,
3,2024-08-22,2506,3145,5651,787,2086,2874,8525,33.71%,11622.8
4,2024-08-23,2859,3093,5952,966,1584,2550,8502,29.99%,
5,2024-08-24,2278,3767,6046,1295,2759,4054,10101,40.13%,
6,2024-08-25,3861,5955,9816,1639,3683,5323,15139,35.16%,
7,2024-08-26,4546,6085,10631,2102,3113,5215,15847,32.91%,
3,2024-08-29,2791,1681,4472,942,1349,2291,6763,33.88%,9601.8
4,2024-08-30,889,1700,2589,380,1295,1675,4264,39.28%,
5,2024-08-31,1364,3180,4544,682,1382,2064,6609,31.23%,
6,2024-09-01,2689,5229,7918,1540,3386,4927,12845,38.36%,
7,2024-09-02,4754,6956,11711,1931,3886,5817,17528,33.19%,
3,2024-09-05,1647,2630,4277,788,1105,1893,6171,30.68%,10664.4
4,2024-09-06,2197,2867,5064,971,1475,2445,7510,32.56%,
5,2024-09-07,1552,2716,4268,1090,1197,2287,6555,34.89%,
6,2024-09-08,3098,6463,9561,1543,5045,6597,16158,40.83%,
7,2024-09-09,5807,5322,11129,3615,2184,5799,16928,34.26%,
3,2024-09-12,2129,2820,4949,1068,1525,2593,7542,34.38%,12501
4,2024-09-13,2842,3046,5888,1149,2121,3271,9159,35.71%,
5,2024-09-14,3169,4302,7472,898,2404,3302,10775,30.65%,
6,2024-09-15,3944,7118,11062,1528,5605,7133,18195,39.20%,
7,2024-09-16,7200,4405,11605,3109,2119,5229,16834,31.06%,
3,2024-09-19,2493,3872,6365,931,1742,2673,9038,29.58%,13129.2
4,2024-09-20,2484,2258,4742,1043,1456,2500,7241,34.53%,
5,2024-09-21,2813,4250,7072,793,2610,3403,10476,32.48%,
6,2024-09-22,4939,6882,11821,2225,6639,8864,20685,42.85%,
7,2024-09-23,6787,5118,11906,3969,2331,6300,18206,34.60%,
3,2024-09-26,2503,2467,4971,822,1047,1869,6840,27.32%,11391.2
4,2024-09-27,2321,2648,4969,910,1790,2700,7670,35.20%,
5,2024-09-28,2253,3716,5969,1024,1510,2534,8503,29.80%,
6,2024-09-29,4641,6231,1087,1649,4298,5947,16819,35.36%,
7,2024-09-30,4507,6320,10826,2523,3820,6297,17124,36.77%,
3,2024-10-03,2136,3264,5401,826,1156,1982,7383,26.85%,13514.4
4,2024-10-04,2223,2699,4922,1242,1263,2506,7228,34.67%,
5,2024-10-05,2757,4983,7740,1073,2627,3700,11440,32.34%,
6,2024-10-06,4245,7457,11702,2305,6792,9177,20880,43.95%,
7,2024-10-07,5728,6726,12454,2801,5385,8186,20641,39.66%,
3,2024-10-10,2404,3209,5613,1110,1030,2141,7754,27.61%,11117.6
4,2024-10-11,1904,2617,4291,913,2148,3061,7582,40.37%,
5,2024-10-12,1457,3235,4693,735,2008,2743,7436,36.89%,
6,2024-10-13,2751,6991,9742,1382,3535,4917,14659,33.54%,
7,2024-10-14,5853,6287,12140,2502,3514,6016,18157,33.13%,
3,2024-10-17,3422,2878,6300,1292,1498,2790,9090,30.69%,12206.4
4,2024-10-18,2718,2248,5566,1169,1175,2345,7910,29.65%,
5,2024-10-19,3024,3461,6486,1929,2243,4173,10657,39.16%,
6,2024-10-20,3271,6784,10056,1581,4246,5827,15884,36.68%,
7,2024-10-21,4444,6227,10671,3245,3574,6819,17491,38.99%,
3,2024-10-24,2155,3128,5283,1025,1875,2900,8183,35.44%,12009.6
4,2024-10-25,1977,3411,5389,877,2081,2958,8348,35.43%,
5,2024-10-26,2636,4372,7008,1558,2930,4485,11493,39.02%,
6,2024-10-27,3616,7179,10796,1582,3114,4697,15492,30.32%,
7,2024-10-28,5633,5174,10808,2875,2849,5724,16532,34.62%,
3,2024-10-31,1915,2716,4630,1055,1068,2124,6754,31.45%,13923.8
4,2024-11-01,2489,3484,6073,1115,1479,2593,8667,29.92%,
5,2024-11-02,3405,5146,8551,1098,1738,2836,11388,24.90%,
6,2024-11-03,5234,7661,12895,2423,6417,8840,21736,40.67%,
7,2024-11-04,4031,7594,11625,3254,6195,9449,21074,44.84%,
3,2024-11-07,2266,3377,5643,862,1917,2780,8423,33.00%,11629.4
4,2024-11-08,2503,3364,5868,1046,1676,2723,8590,31.70%,
5,2024-11-09,3136,3724,6857,1180,2613,3793,10651,35.61%,
6,2024-11-10,4194,6362,10556,2358,4487,6846,17402,39.34%,
7,2024-11-11,3643,4950,8594,2267,2220,4487,13081,34.30%,
3,2024-11-14,2366,3703,6069,1132,1559,2691,8760,30.72%,11204
4,2024-11-15,2650,2623,5273,1096,1221,2317,7590,30.53%,
5,2024-11-16,2054,3140,5194,1075,1768,2843,8038,35.37%,
6,2024-11-17,2871,5299,8170,2368,3106,5174,13645,37.92%,
7,2024-11-18,5262,6380,11643,2907,3428,6335,17987,35.22%,
3,2024-11-21,3711,5611,9322,1749,3256,5005,14326,34.94%,17131
4,2024-11-22,3236,6134,9369,2117,3699,5817,15186,38.31%,
5,,,24,,,,,
6,2024-11-24,5088,7339,12428,3331,4873,8204,20633,39.76%,
7,2024-11-25,6546,4109,10655,5122,2601,7724,18379,42.03%,
3,2024-11-28,2537,2919,5456,1251,1149,2400,7857,30.55%,10950.6
4,2024-11-29,2340,2739,5079,1091,1599,2690,7769,34.62%,
5,2024-11-30,2156,3485,5642,729,2511,3240,8883,36.47%,
6,2024-12-01,3600,4993,8593,2128,3927,6055,14648,41.34%,
7,2024-12-02,4319,5575,9844,2486,3215,5701,15596,36.55%,
3,2024-12-05,2539,3231,5770,1480,2131,3619,9390,38.54%,11996.4
4,2024-12-06,2809,3265,6074,997,2286,3283,9357,35.09%,
5,2024-12-07,2954,3576,6530,1567,1899,3467,9998,34.68%,
6,2024-12-08,3769,5590,9359,2344,3599,5943,15302,38.84%,
7,2024-12-09,4186,6285,10471,2132,3332,5464,15935,34.29%,
3,2024-12-12,3590,3325,6916,1397,1752,3149,10065,31.29%,14117.8
4,2024-12-13,3340,3532,6872,1658,2085,3743,10616,35.26%,
5,2024-12-14,3396,4240,7636,2136,2654,4826,12426,38.84%,
6,2024-12-15,5203,7415,12618,2355,4740,7095,19714,35.99%,
7,2024-12-16,5032,5886,10918,3761,3088,6849,17768,38.55%,
3,2024-12-19,4022,3270,7292,1970,2825,4795,12087,39.67%,15007
4,2024-12-20,3537,4049,7586,2096,2794,4891,12477,39.20%,
5,2024-12-21,2841,3953,6795,2559,4303,6863,13658,50.25%,
6,2024-12-22,4697,5476,10173,3946,4156,8103,18276,44.34%,
7,2024-12-23,5162,5694,10857,4311,3370,7681,18537,41.44%,
3,2024-12-26,4148,4488,8637,2629,3966,6595,15233,43.29%,16578.2
4,2024-12-27,4363,5071,9434,2039,4194,6233,15667,39.78%,
5,2024-12-28,4531,5146,9677,1638,4139,5778,15456,37.38%,
6,2024-12-29,4753,5434,10187,3306,4919,8225,18412,44.67%,
7,2024-12-30,5361,5939,11300,3529,3293,6822,18123,37.64%,
