DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-01-02,2186,2936,5123,,,1417,6540,21.67%,7082.6
4,2024-01-03,1147,2584,3732,,,570,4302,13.25%,
5,2024-01-04,1780,2125,3905,,,677,4583,14.77%,
6,2024-01-05,,,7170,,,1627,8797,18.49%,
7,2024-01-06,3860,4908,8768,,,2422,11191,21.64%,
3,2024-01-09,1154,2221,3376,,,415,3791,10.95%,7360.6
4,2024-01-10,1305,2121,3426,,,662,4089,16.19%,
5,2024-01-11,2193,3092,5285,,,516,5802,8.89%,
6,2024-01-12,1853,6248,8102,,,1746,9849,17.73%,
7,2024-01-13,4430,5734,10164,,,3108,13272,23.42%,
3,2024-01-16,1731,2530,4262,,,1306,5569,23.45%,7384.4
4,2024-01-17,1491,1966,3458,,,446,3905,11.42%,
5,2024-01-18,1801,2452,4254,,,1138,5393,21.10%,
6,2024-01-19,2323,5309,7632,,,1514,9146,16.55%,
7,2024-01-20,4574,5901,10476,,,2432,12909,18.84%,
3,2024-01-23,1783,2133,3917,,,774,4691,16.50%,8160.8
4,2024-01-24,1950,2450,4401,,,599,5001,11.98%,
5,2024-01-25,1937,3114,5052,,,911,5964,15.27%,
6,2024-01-26,2803,5282,8086,,,1744,9830,17.74%,
7,2024-01-27,4862,6044,10907,,,4411,15318,28.80%,
3,2024-01-30,1552,2049,3601,,,599,4200,14.26%,8059.4
4,2024-01-31,1307,2759,4068,,,608,4676,13.00%,
5,2024-02-01,1455,3321,4776,,,848,5624,15.08%,
6,2024-02-02,2532,5577,8111,,,2034,10145,20.05%,
7,2024-02-03,5324,6290,11614,,,4037,15652,25.79%,
3,2024-02-06,1632,2086,3718,,,1063,4781,22.23%,8263.8
4,2024-02-07,1685,2768,4453,,,1042,5496,18.96%,
5,2024-02-08,1551,2663,4214,,,809,5023,16.11%,
6,2024-02-09,2767,6862,9629,,,2332,11961,19.50%,
7,2024-02-10,4576,6167,10744,,,3314,14058,23.57%,
3,2024-02-13,1481,2726,4207,,,491,4698,10.45%,9966.6
4,2024-02-14,3063,4947,8010,,,1793,9803,18.29%,
5,2024-02-15,1710,3697,5407,,,1708,7115,24.01%,
6,2024-02-16,2985,5545,8530,,,2465,10995,22.42%,
7,2024-02-17,5566,7558,13124,,,4098,17222,23.80%,
3,2024-02-20,1679,3078,4757,,,1097,5854,18.74%,9111
4,2024-02-21,1954,3473,5427,,,1612,7038,22.90%,
5,2024-02-22,2131,2612,4743,,,1094,5837,18.74%,
6,2024-02-23,2535,6556,9092,,,3528,12620,27.96%,
