DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-01-04,2504,2877,5382,878,1893,2771,8152,33.99%,9544.2
4,2024-01-05,2087,2738,4825,574,1536,2110,6935,30.43%,
5,2024-01-06,1629,3062,4691,797,1712,2509,7200,34.85%,
6,2024-01-07,2621,5420,8041,984,2872,3857,11898,32.42%,
7,2024-01-08,3766,4812,8578,1959,3000,4961,13536,36.65%,
3,2024-01-11,1734,1848,3582,474,1124,1598,5180,30.85%,9439.8
4,2024-01-12,2321,2065,4386,1004,1576,2579,6965,37.03%,
5,2024-01-13,2139,2986,5125,839,1013,1852,6978,26.54%,
6,2024-01-14,2757,5006,7763,1526,4266,5792,13555,42.73%,
7,2024-01-15,4017,5538,9555,1959,3007,4966,14521,34.20%,
3,2024-01-18,1735,1418,3153,507,964,1471,4623,31.82%,8870.6
4,2024-01-19,2157,2398,4554,923,1431,2354,6909,34.07%,
5,2024-01-20,1680,2433,4113,721,1650,2371,6483,36.57%,
6,2024-01-21,2610,5391,8001,1137,3299,4436,12437,35.67%,
7,2024-01-22,3956,5157,9003,1945,2842,4787,13901,34.44%,
3,2024-01-25,1705,1930,3635,852,1208,2060,5695,36.17%,9268
4,2024-01-26,1987,2570,4558,494,1447,1941,6499,29.87%,
5,2024-01-27,1789,2872,4661,862,1553,2415,7075,34.13%,
6,2024-01-28,2746,4902,7648,1148,2619,3767,11415,33.00%,
7,2024-01-29,4664,5928,10592,2188,2875,5063,15656,32.34%,
3,2024-02-01,1687,3407,5094,636,1138,1775,6869,25.84%,9504
4,2024-02-02,2353,2879,5232,887,1699,2586,7818,33.08%,
5,2024-02-03,1728,2610,4338,799,1809,2608,6946,37.55%,
6,2024-02-04,2291,5154,7445,1059,3094,4152,11598,35.80%,
7,2024-02-05,4656,5547,10203,1301,2785,4085,14289,28.59%,
3,2024-02-08,1872,2398,4271,767,1108,1875,6145,30.51%,10993
4,2024-02-09,2656,3325,5981,1084,1542,2626,8607,30.51%,
5,2024-02-10,2002,3140,5142,683,1198,1881,7023,26.78%,
6,2024-02-11,3467,6740,10207,1412,4347,5759,15966,36.07%,
7,2024-02-12,5398,5657,11056,2172,3997,6168,17224,35.81%,
3,2024-02-15,1825,3161,4986,824,1846,2669,7656,34.86%,11740.8
4,2024-02-16,2150,2569,4719,1034,2039,3073,7793,39.43%,
5,2024-02-17,2502,4157,6659,993,2553,3546,10204,34.75%,
6,2024-02-18,2848,5937,8784,1443,3226,4669,13453,34.71%,
7,2024-02-19,5380,6241,11621,3160,4816,7977,19598,40.70%,
3,2024-02-22,1810,3264,5074,1349,1314,2663,7737,34.42%,11275.8
4,2024-02-23,2519,3226,4845,527,2654,3180,8025,39.63%,
5,2024-02-24,2191,3771,5962,717,2216,2932,8894,32.97%,
6,2024-02-25,3503,6554,10057,1453,3438,4891,14949,32.72%,
7,2024-02-26,4339,6539,10878,2480,3415,5895,16774,35.14%,
3,2024-03-01,1775,3218,4993,701,2337,3038,8031,37.83%,10750
4,2024-03-02,2459,3622,6081,759,1467,2196,8278,26.53%,
5,2024-03-03,1909,3884,5793,1225,1473,2698,8490,31.78%,
6,2024-03-04,2922,5631,8553,1079,3945,5025,13578,37.01%,
7,2024-03-05,5011,5541,10552,2398,2423,4821,15373,31.36%,
3,2024-03-08,2104,2770,4874,1403,1327,2730,7604,35.90%,11420
4,2024-03-09,2144,4077,6221,999,2447,3445,9666,35.64%,
5,2024-03-10,1909,3522,5431,635,2595,3230,8661,37.29%,
6,2024-03-11,2892,4664,7556,1725,4875,6600,14156,46.62%,
7,2024-03-12,5113,5232,10345,2777,3890,6668,17013,39.19%,
3,2024-03-15,2612,4176,6788,1302,2543,3844,10632,36.16%,13050.8
4,2024-03-16,3354,3580,6934,1571,2046,3617,10552,34.28%,
5,2024-03-17,2050,4754,6804,838,2834,3672,10476,35.05%,
6,2024-03-18,4953,6697,11650,1691,3394,5085,16735,30.39%,
7,2024-03-19,4714,5973,10687,2450,3722,6172,16859,36.61%,
3,2024-03-22,2263,4084,6347,1096,1711,2807,9155,30.66%,11576.2
4,2024-03-23,2202,2664,4866,917,2210,3127,7993,39.12%,
5,2024-03-24,2032,3384,5416,1098,2232,3331,8746,38.09%,
6,2024-03-25,3737,6220,9957,1386,3656,5042,14998,33.62%,
7,2024-03-26,5107,6070,11177,2370,3442,5812,16989,34.21%,
3,2024-03-29,1965,3784,5749,682,2421,3103,8852,35.05%,10979.6
4,2024-03-30,1945,3780,5725,1261,2354,3615,9340,38.70%,
5,2024-03-31,1456,3512,4968,969,2876,3826,8794,43.51%,
6,2024-04-01,2995,5654,8649,1267,3796,5063,13713,36.92%,
7,2024-04-02,4375,4803,9178,1681,3340,5021,14199,35.36%,
3,2024-04-05,2033,3442,5475,922,2212,3137,8608,36.44%,10986
4,2024-04-06,1581,3576,5157,714,2025,2738,7895,34.68%,
5,2024-04-07,1623,3702,5325,1139,2259,3398,8723,38.95%,
6,2024-04-08,3494,5943,9437,1137,4391,5527,11964,46.20%,
7,2024-04-09,5372,5762,11134,2867,3738,6606,17740,37.24%,
3,2024-04-12,2107,3878,5985,826,1950,2776,8761,31.69%,12177.8
4,2024-04-13,2480,3681,6161,893,2502,3395,9557,35.52%,
5,2024-04-14,2660,3673,6333,922,2285,3207,9540,33.62%,
6,2024-04-15,5909,5428,11337,1997,3323,5320,16658,31.94%,
7,2024-04-16,4659,5746,10405,2096,3872,5968,16373,36.45%,
3,2024-04-19,2348,4404,6752,1087,1522,2609,9361,27.87%,12271.8
4,2024-04-20,2484,3676,6160,807,2998,3805,9966,38.18%,
5,2024-04-21,2449,4057,6506,1012,2708,3720,10227,36.37%,
6,2024-04-22,3152,5713,8864,1148,4008,5157,14021,36.78%,
7,2024-04-23,5424,6608,12032,2702,3049,5751,17784,32.34%,
3,2024-04-26,2745,5836,8582,1181,2297,3478,12059,28.84%,14136.6
4,2024-04-27,2721,3717,6439,1139,1722,2861,9301,30.76%,
5,2024-04-28,2945,5729,8675,1277,3042,4320,12995,33.24%,
6,2024-04-29,4450,7184,11634,1703,3129,4832,16466,29.35%,
7,2024-04-30,5862,6873,12735,3361,3766,7127,19862,35.88%,
3,2024-05-03,3251,3779,7030,1133,1311,2444,9475,25.79%,9535.6
