DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-TOT,TOTAL,LSE-PERCENT,LSE-NIGHT
2020-12-29,2188.0,2461.0,4650.0,1602.0,4237.0,8887.19,0.4767536195355337,2635.0
2020-12-30,2211.0,189.0,4050.0,1956.0,5344.0,9394.57,0.5688392337275682,3388.0
2020-12-22,2124.0,2276.0,4400.0,2354.0,5324.0,9724.05,0.5475084969739975,2970.0
2020-12-23,1900.0,1437.0,3337.0,1178.0,6328.0,9665.88,0.6546739665710727,5150.0
2020-12-26,2470.0,1986.0,4456.0,1648.0,4575.0,9030.63,0.5066091734463709,2927.0
2020-12-15,1580.0,1446.0,3026.0,1319.0,3018.0,6044.41,0.49930431588856483,1699.0
2020-12-16,1187.0,987.0,2174.0,1320.0,3189.0,5363.81,0.5945400750585871,1869.0
2020-12-17,1082.0,1416.0,2498.0,1595.0,3080.0,5579.09,0.5520613576766104,1485.0
2020-12-18,1145.0,2554.0,3700.0,1893.0,6086.0,9786.23,0.6218942330192526,4193.0
2020-12-19,2595.0,2130.0,5089.0,3317.0,5865.0,10954.56,0.5353934799754623,2548.0
2020-12-08,896.0,833.0,1729.0,876.0,2329.0,4058.28,0.5738884453512325,1453.0
2020-12-09,1187.0,1238.0,2425.0,930.0,2336.0,4761.29,0.490623339473126,1406.0
2020-12-10,1030.0,1714.0,2745.0,1197.0,2741.0,5485.85,0.4996490972228551,1544.0
2020-12-11,2189.0,2861.0,5050.0,1334.0,5067.0,10116.78,0.5008510613060677,3733.0
2020-12-12,2315.0,2320.0,4635.0,2248.0,5521.0,10156.89,0.5435719004537807,3273.0
2020-12-01,792.0,683.0,1475.0,548.0,1638.0,3113.92,0.5260250745041619,1090.0
2020-12-02,894.0,876.0,1771.0,775.0,1766.0,3537.55,0.49921555879068846,991.0
2020-12-03,843.0,1136.0,1979.0,1254.0,2425.0,4404.04,0.5506307844615399,1171.0
2020-12-04,891.0,3681.0,4572.0,1661.0,4936.0,9508.37,0.5191215739395921,3275.0
2020-12-05,2762.0,2576.0,5339.0,1757.0,4694.0,10033.07,0.46785281075483376,2937.0
2020-11-24,1788.0,2064.0,3852.0,965.0,2801.0,6653.94,0.42095360042320795,1836.0
2020-11-25,1947.0,2019.0,3966.0,1581.0,3568.0,7534.55,0.47355183786689314,1987.0
2020-11-27,2056.0,2007.0,4064.0,1250.0,3598.0,7661.59,0.4696153148367375,2348.0
2020-11-28,2711.0,3221.0,5932.0,1819.0,4578.0,10511.0,0.4355437161069356,2759.0
2020-11-17,1093.0,1802.0,2895.0,1198.0,2114.0,5009.81,0.4219720907579329,916.0
2020-11-18,1356.0,1389.0,2746.0,1000.0,2462.0,5208.19,0.4727170091720925,1462.0
2020-11-19,1357.0,1229.0,2586.0,706.0,2249.0,4835.98,0.4650556867480842,1543.0
2020-11-20,1283.0,3139.0,4423.0,1581.0,5694.0,10117.38,0.5627939249094134,4113.0
2020-11-21,1840.0,3347.0,5187.0,1877.0,5158.0,10345.15,0.4985911272432009,3281.0
2020-11-10,1051.0,1244.0,2295.0,997.0,2674.0,4969.66,0.5380649782882532,1677.0
2020-11-11,1509.0,1661.0,3167.0,1561.0,2701.0,5868.28,0.4602711527057332,1140.0
2020-11-12,1087.0,1575.0,2662.0,716.0,2313.0,4975.32,0.4648947203395963,1597.0
2020-11-13,1330.0,2963.0,4293.0,1400.0,5748.0,10041.11,0.5724466717325076,4348.0
2020-11-14,3376.0,2803.0,6180.0,2356.0,5114.0,11293.01,0.45284649530993065,2758.0
2020-11-03,1174.0,2010.0,3184.0,872.0,2723.0,5907.67,0.4609262196432773,1851.0
2020-11-04,773.0,1187.0,1960.0,623.0,2463.0,4423.94,0.5567435363047419,1840.0
2020-11-05,1191.0,1690.0,2881.0,1149.0,2590.0,5472.17,0.47330400919562077,1441.0
2020-11-06,1579.0,3065.0,4644.0,1317.0,4727.0,9372.07,0.5043709660725966,3410.0
2020-11-07,2472.0,2454.0,5197.0,2653.0,6265.0,11461.89,0.5465939735942328,3612.0
2020-10-27,816.0,1615.0,2432.0,1069.0,2450.0,4882.15,0.5018280880349846,1381.0
2020-10-28,836.0,1734.0,2570.0,603.0,1889.0,4459.43,0.42359673769966116,1286.0
2020-10-29,853.0,1440.0,2293.0,901.0,1890.0,4184.09,0.45171112476070063,989.0
2020-10-30,1347.0,2599.0,3946.0,1317.0,5274.0,9220.02,0.5720161127633129,3957.0
2020-10-31,2663.0,3143.0,5807.0,2661.0,4431.0,10239.6,0.4327317473338802,1770.0
2020-10-20,1115.0,1170.0,2285.0,1121.0,2544.0,4830.24,0.52668190400477,1423.0
2020-10-21,1613.0,1422.0,3035.0,401.0,1538.0,4573.35,0.3362961505242328,1137.0
2020-10-22,1359.0,1860.0,3218.0,759.0,2229.0,5447.81,0.4091552385270411,1470.0
2020-10-23,1965.0,3192.0,5157.0,1097.0,4202.0,9359.07,0.4489762337497209,3105.0
2020-10-24,2829.0,4061.0,6891.0,2694.0,5591.0,12481.38,0.44794726224183545,2897.0
2020-10-13,1138.0,1336.0,2474.0,945.0,2366.0,4840.09,0.4888338853203143,1421.0
2020-10-14,935.0,1757.0,2693.0,1009.0,2586.0,5279.5,0.489819111658301,1577.0
2020-10-15,1317.0,1576.0,2893.0,852.0,2097.0,4990.02,0.4202387966380896,1245.0
2020-10-16,1454.0,3620.0,5074.0,1769.0,6643.8,11717.84,0.566981628013354,4874.8
2020-10-17,3182.0,3079.0,6261.0,2007.0,5482.0,11742.99,0.46683170129583695,3475.0
2020-10-06,940.0,1556.0,2496.0,709.0,2083.0,4580.0,0.45480349344978166,1374.0
2020-10-07,788.0,1435.0,2223.0,765.0,2354.0,4578.01,0.51419721669459,1589.0
2020-10-08,952.0,1694.0,2646.0,687.0,2261.0,4908.04,0.4606726921540982,1574.0
2020-10-09,1641.0,3176.0,4817.0,1470.0,5999.0,10816.43,0.5546192227934725,4529.0
2020-10-10,2151.0,3414.0,5565.0,1238.0,4391.0,9956.67,0.4410109002306996,3153.0
2020-09-29,693.0,1206.0,1899.0,893.0,2081.0,3980.47,0.5228025836144978,1188.0
2020-09-30,1037.0,1597.0,2633.0,463.0,2057.0,4690.51,0.4385450622640182,1594.0
2020-10-01,1273.0,1686.0,2959.0,973.0,2698.0,5657.3,0.4769059445318438,1725.0
2020-10-02,1391.0,2608.0,3999.0,1141.0,4959.0,8959.08,0.5535166557280435,3818.0
2020-10-03,2013.0,3208.0,5222.0,2111.0,5768.0,10990.86,0.5247996972029486,3657.0
2020-09-22,894.0,1155.0,2049.0,709.0,1841.0,3890.66,0.47318449825993536,1132.0
2020-09-23,1068.0,1067.0,2135.0,838.0,2419.0,4554.31,0.5311452228767913,1581.0
2020-09-24,1218.0,1564.0,2783.0,821.0,3041.0,5824.82,0.5220762186642678,2220.0
2020-09-25,949.0,3756.0,4705.0,773.0,5069.0,9774.37,0.5186011988496445,4296.0
2020-09-26,1758.0,3600.0,5588.0,1587.0,5718.0,11076.0,0.5162513542795233,4131.0
2020-09-15,525.0,795.0,1320.0,637.0,2110.0,3430.77,0.6150222836272907,1473.0
2020-09-16,794.0,1589.0,2383.0,671.0,2151.0,4535.23,0.4742868608648294,1480.0
2020-09-17,756.0,1371.0,2127.0,688.0,2130.0,4256.75,0.5003817466376931,1442.0
2020-09-18,1095.0,2256.0,3351.0,1174.0,5049.0,8400.79,0.6010149045506434,3875.0
2020-09-19,2097.0,3059.0,5156.0,2426.0,6185.0,11341.86,0.5453250172370316,3759.0
2020-09-08,769.0,1349.0,2119.0,610.0,1603.0,3722.0,0.43068242880171953,993.0
2020-09-09,1009.0,1259.0,2268.0,871.0,2656.0,4925.0,0.5392893401015229,1785.0
2020-09-10,849.0,1121.0,1971.0,685.0,2394.0,4364.8,0.5484787390029325,1709.0
2020-09-11,1199.0,2739.0,3939.0,917.0,5199.0,9138.72,0.5688980513682441,4282.0
2020-09-12,2479.0,2937.0,5417.0,2141.0,5004.0,10420.84,0.48019161603095334,2863.0
2020-09-01,826.0,1492.0,2318.0,408.0,1476.0,3794.39,0.388995332583103,1068.0
2020-09-02,890.0,1182.0,2072.0,916.0,2676.0,4748.64,0.5635297685231981,1760.0
2020-09-03,837.0,1270.0,2107.0,863.0,2754.0,4861.97,0.5664370615203302,1891.0
2020-09-04,1168.0,2747.0,3916.0,1777.0,5900.0,9816.24,0.6010447992306627,4123.0
2020-09-05,2472.0,3657.0,6129.0,1932.0,6269.0,12399.21,0.5055967275334478,4337.0
2020-08-25,1184.0,2036.0,3221.0,776.0,2213.0,5434.46,0.4072161723519908,1437.0
2020-08-26,1608.0,2421.0,4030.0,994.0,2762.0,6725.21,0.4106934950730163,1768.0
2020-08-27,1524.0,2205.0,3729.0,558.0,3548.0,7288.65,0.4867842467397941,2990.0
2020-08-28,1581.0,3604.0,5185.0,1225.0,5731.0,10915.74,0.5250216659612633,4506.0
2020-08-29,2465.0,3489.0,5954.0,1941.0,6736.0,12690.54,0.5307890759573667,4795.0
2020-08-18,917.0,1954.0,3571.0,495.0,2548.0,6120.13,0.416331025648148,2053.0
2020-08-19,1280.0,1680.0,2960.0,751.0,2790.0,5751.0,0.48513302034428796,2039.0
2020-08-20,1148.0,2128.0,3276.0,929.0,2586.0,5862.46,0.44111175172197337,1657.0
2020-08-21,1901.0,3414.0,5315.0,,5439.0,10754.83,0.505726264385397,
2020-08-22,2675.0,3046.0,5787.0,2160.0,5639.0,11426.99,0.49348078540368023,3479.0
2020-08-11,832.0,1994.0,2883.0,504.0,2303.0,5187.19,0.4439783389465202,1799.0
2020-08-12,974.0,1387.0,2820.0,526.0,1948.0,4768.64,0.4085022144678566,1422.0
2020-08-13,1926.0,1256.0,2612.0,854.0,2668.0,5280.68,0.5052379617776498,1814.0
2020-08-14,1143.0,2539.0,4918.0,532.0,3089.0,10565.41,0.29236915557465354,2557.0
2020-08-15,2095.0,3720.0,6024.0,667.0,5899.0,11923.49,0.4947376984423185,5232.0
2020-08-04,1091.0,1809.0,2900.0,762.0,2078.0,4978.22,0.41741827400155074,1316.0
2020-08-05,1253.0,1517.0,2770.0,1093.0,2606.0,5376.1,0.48473800710552256,1513.0
2020-08-06,1273.0,1561.0,2834.0,1022.0,3238.0,6073.0,0.5331796476206159,2216.0
2020-08-07,1069.0,2401.0,3962.0,1260.0,5347.0,9309.07,0.57438605574993,4087.0
2020-08-08,2668.0,2717.0,5385.0,2185.0,5471.0,11125.97,0.49173240625311776,3286.0
2020-07-28,1319.0,1498.0,2817.0,1047.0,3086.0,5903.33,0.5227558005396954,2039.0
2020-07-29,1064.0,2130.0,3194.0,767.0,3002.0,6196.43,0.48447251078443554,2235.0
2020-07-30,943.0,1805.0,2748.0,1080.0,3832.0,6580.21,0.5823522349590666,2752.0
2020-07-31,1656.0,2800.0,4456.0,1116.0,5044.0,9500.72,0.5309071312490001,3928.0
2020-08-01,1899.0,2620.0,4519.0,1426.0,4952.0,9471.45,0.5228344128934851,3526.0
2020-07-21,1583.0,1535.0,3159.0,680.0,2649.0,5808.36,0.4560667727206992,1969.0
2020-07-22,1116.0,1072.0,2238.0,390.0,2410.0,4645.99,0.5187269021241975,2020.0
2020-07-23,1143.0,1520.0,2664.0,1050.0,2491.0,5154.98,0.4832220493580965,1441.0
2020-07-24,1079.0,3223.0,4422.0,984.0,4579.0,9001.76,0.5086783029096532,3595.0
2020-07-25,2586.0,3538.0,6124.0,1559.0,5078.0,11202.93,0.4532742773542279,3519.0
2020-07-14,870.0,1310.0,2216.0,694.0,2454.0,4670.98,0.525371549439304,1760.0
2020-07-15,1155.0,1182.0,2337.0,914.0,2765.0,5101.87,0.5419581447586865,1851.0
