DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT
2021-12-28,3495.0,5040.0,8535.0,2210.0,2783.0,4993.0,13528.0,0.3690863394441159
2021-12-29,3380.0,4189.0,7569.0,1707.0,3235.0,4942.0,12512.0,0.39498081841432225
2021-12-30,3670.0,3616.0,7286.0,1972.0,1941.0,3913.0,11199.0,0.34940619698187336
2021-12-21,2880.0,3280.0,6161.0,1691.0,2503.0,4195.0,10355.0,0.40511830033800095
2021-12-22,3078.0,3876.0,6955.0,1720.0,2298.0,4018.0,10973.0,0.3661715118928279
2021-12-23,3253.0,3782.0,7035.0,2394.0,2784.0,5180.0,12215.0,0.42406876790830944
2021-12-14,2558.0,3127.0,5685.0,1226.0,2391.0,3617.0,9302.0,0.3888411094388304
2021-12-15,2521.0,3031.0,5552.0,1403.0,1602.0,3005.0,8556.0,0.35121552127162226
2021-12-16,2589.0,3698.0,6287.0,1111.0,3353.0,4464.0,10751.0,0.4152171890986885
2021-12-17,3331.0,5468.0,8799.0,1963.0,3203.0,5166.0,13965.0,0.3699248120300752
2021-12-18,5064.0,3533.0,8597.0,2593.0,2486.0,5079.0,13675.0,0.37140767824497256
2021-12-07,1843.0,2634.0,4478.0,947.0,1378.0,2325.0,6803.0,0.3417609877995002
2021-12-08,1918.0,2141.0,4059.0,1112.0,1501.0,2613.0,6672.0,0.391636690647482
2021-12-09,2163.0,3007.0,5170.0,615.0,1204.0,1819.0,6990.0,0.2602288984263233
2021-12-10,2349.0,5175.0,7523.0,1347.0,3520.0,4867.0,12390.0,0.392816787732042
2021-12-11,3767.0,3222.0,6989.0,26494.0,2488.0,5138.0,12126.0,0.4237176315355435
2021-11-30,1474.0,2237.0,3712.0,992.0,1593.0,2585.0,6297.0,0.4105129426711132
2021-12-01,2014.0,2800.0,4814.0,746.0,1713.0,2459.0,7273.0,0.33809982125670285
2021-12-02,3188.0,2386.0,5574.0,1133.0,1880.0,2923.0,8497.0,0.3440037660350712
2021-12-03,2250.0,4425.0,6675.0,1043.0,3348.0,4392.0,11456.0,0.38337988826815644
2021-12-04,3974.0,3884.0,7858.0,1549.0,2351.0,3900.0,11758.0,0.3316890627657765
2021-11-23,3081.0,3433.0,6514.0,1105.0,2224.0,3329.0,9843.0,0.33820989535710655
2021-11-24,2425.0,4240.0,6665.0,1454.0,1931.0,3385.0,10050.0,0.33681592039800995
2021-11-26,5024.0,6876.0,11901.0,1888.0,5239.0,7127.0,19028.0,0.3745532898885852
2021-11-27,3240.0,5738.0,8978.0,2898.0,3614.0,6512.0,15491.0,0.4203731198760571
2021-11-16,2017.0,2239.0,4256.0,1048.0,1403.0,2451.0,6707.0,0.3654390934844193
2021-11-17,2116.0,2224.0,4339.0,816.0,1015.0,1828.0,6167.0,0.2964164099237879
2021-11-18,1170.0,3040.0,4211.0,666.0,1682.0,2348.0,6559.0,0.3579813996035981
2021-11-19,2279.0,4780.0,7059.0,1096.0,3365.0,4461.0,11520.0,0.38723958333333336
2021-11-20,3966.0,3732.0,7698.0,1896.0,1169.0,3066.0,10764.0,0.2848383500557414
2021-11-09,2110.0,2827.0,4937.0,650.0,632.0,1282.0,6220.0,0.20610932475884244
2021-11-10,1869.0,3629.0,5498.0,629.0,2158.0,2788.0,8285.0,0.33651176825588414
2021-11-11,2841.0,3575.0,6416.0,1584.0,1738.0,3323.0,9739.0,0.3412054625731595
2021-11-12,3550.0,6562.0,10112.0,987.0,4835.0,5822.0,15934.0,0.3653822015815238
2021-11-13,4215.0,6097.0,10312.0,3116.0,3766.0,6883.0,17195.0,0.4002907822041291
2021-11-02,1858.0,2220.0,4078.0,693.0,1746.0,2439.0,6517.0,0.3742519564216664
2021-11-03,2031.0,2613.0,4644.0,784.0,1624.0,2407.0,7051.0,0.34137001843710113
2021-11-04,1378.0,2153.0,3513.0,568.0,1287.0,1946.0,5459.0,0.3564755449716065
2021-11-05,1823.0,4055.0,5878.0,1115.0,2043.0,3158.0,9036.0,0.34949092518813635
2021-11-06,3869.0,3854.0,7723.0,2463.0,2338.0,4802.0,12525.0,0.3833932135728543
2021-10-26,1807.0,1915.0,3722.0,558.0,684.0,1242.0,4964.0,0.250201450443191
2021-10-27,2026.0,2366.0,4393.0,1033.0,1611.0,2644.0,7037.0,0.3757282933068069
2021-10-28,1474.0,2913.0,4387.0,596.0,1876.0,2472.0,6859.0,0.360402391019099
2021-10-29,2456.0,4747.0,7204.0,788.0,2789.0,3577.0,10781.0,0.33178740376588445
2021-10-30,3282.0,3966.0,7248.0,1872.0,1600.0,3472.0,10719.0,0.32391081257579996
2021-10-19,1795.0,2277.0,4072.0,778.0,1391.0,2169.0,6241.0,0.34754045825989427
2021-10-20,1529.0,2183.0,3711.0,426.0,1147.0,1574.0,5286.0,0.2977676882330685
2021-10-21,1622.0,3050.0,4672.0,1116.0,1798.0,2914.0,7586.0,0.38412865805431057
2021-10-22,2332.0,5507.0,7807.0,953.0,2426.0,3379.0,11187.0,0.30204701886117813
2021-10-23,5042.0,5157.0,10198.0,1388.0,2474.0,3862.0,14061.0,0.2746604082213214
2021-10-12,1750.0,2917.0,4667.0,418.0,818.0,1236.0,5903.0,0.20938505844485855
2021-10-13,1266.0,2439.0,3705.0,530.0,1074.0,1605.0,5310.0,0.3022598870056497
2021-10-14,1598.0,2718.0,4317.0,647.0,1996.0,2643.0,6959.0,0.3797959476936341
2021-10-15,2723.0,5286.0,8009.0,1088.0,2098.0,3186.0,11195.0,0.2845913354175971
2021-10-16,4047.0,4773.0,8820.0,1247.0,2731.0,3978.0,12799.0,0.3108055316821627
2021-10-05,1829.0,2262.0,4091.0,551.0,1358.0,1909.0,6001.0,0.3181136477253791
2021-10-06,1352.0,3051.0,4403.0,667.0,1148.0,1815.0,6219.0,0.2918475639170285
2021-10-07,1573.0,2844.0,4417.0,530.0,1603.0,2133.0,6550.0,0.32564885496183205
2021-10-08,3556.0,5568.0,9124.0,1129.0,3697.0,4826.0,13951.0,0.3459250232958211
2021-10-09,3613.0,5893.0,9506.0,2776.0,3780.0,6556.0,16062.0,0.4081683476528452
2021-09-28,1979.0,2296.0,4276.0,585.0,1254.0,1839.0,6115.0,0.30073589533932954
2021-09-29,1810.0,2243.0,4053.0,758.0,2011.0,2769.0,6822.0,0.40589270008795075
2021-09-30,1488.0,1997.0,3485.0,844.0,1013.0,1857.0,5343.0,0.34755755193711396
2021-10-01,2952.0,5307.0,7860.0,1124.0,2654.0,3778.0,11638.0,0.3246262244371885
2021-10-02,4493.0,4257.0,8750.0,1266.0,1754.0,3021.0,11770.0,0.2566694987255735
2021-09-21,1434.0,2201.0,3635.0,532.0,1292.0,1824.0,5460.0,0.33406593406593404
2021-09-22,1668.0,2072.0,3740.0,632.0,1087.0,1720.0,5460.0,0.315018315018315
2021-09-23,1338.0,3695.0,5033.0,939.0,1391.0,2331.0,7364.0,0.31653992395437264
2021-09-24,2252.0,6284.0,8537.0,1095.0,5072.0,6167.0,14704.0,0.41940968443960824
2021-09-25,5290.0,3403.0,8693.0,2889.0,1726.0,4615.0,13308.0,0.34678388938984067
2021-09-14,1205.0,3043.0,4247.0,642.0,1060.0,1703.0,5950.0,0.286218487394958
2021-09-15,1560.0,2388.0,3948.0,594.0,1532.0,2127.0,6075.0,0.35012345679012347
2021-09-16,1685.0,3166.0,4851.0,942.0,1935.0,2877.0,7728.0,0.37228260869565216
2021-09-17,3550.0,6689.0,10239.0,832.0,5169.0,6001.0,16240.0,0.3695197044334975
2021-09-18,3660.0,6083.0,9743.0,1515.0,90056.0,4437.0,14180.0,0.3129055007052186
2021-09-07,1416.0,1909.0,3325.0,471.0,625.0,1097.0,4422.0,0.24807779285391227
2021-09-08,1612.0,2185.0,3797.0,554.0,1300.0,1854.0,5650.0,0.328141592920354
2021-09-09,1306.0,2223.0,3529.0,623.0,1981.0,2604.0,6133.0,0.4245882928420023
2021-09-10,1876.0,5072.0,6948.0,1134.0,2576.0,3710.0,10659.0,0.3480626700440942
2021-09-11,3312.0,5288.0,8600.0,1522.0,2933.0,4455.0,13054.0,0.3412747050712425
2021-08-31,1571.0,1817.0,3387.0,323.0,1260.0,1584.0,4971.0,0.31864815932407964
2021-09-01,1591.0,1927.0,3518.0,465.0,1103.0,1569.0,5087.0,0.3084332612541773
2021-09-02,1731.0,2879.0,4610.0,472.0,1451.0,1924.0,6535.0,0.2944146901300689
2021-09-03,2542.0,6494.0,9036.0,1015.0,3643.0,4568.0,13695.0,0.3335523913837167
2021-09-04,4700.0,4210.0,8910.0,1655.0,1624.0,3280.0,12189.0,0.269095085733038
2021-08-24,1773.0,2712.0,4485.0,473.0,972.0,1445.0,4930.0,0.29310344827586204
2021-08-25,1408.0,2294.0,3703.0,374.0,1460.0,1835.0,5537.0,0.33140689904280296
2021-08-26,2196.0,2954.0,5150.0,493.0,2073.0,2566.0,7716.0,0.3325557283566615
2021-08-27,1975.0,4420.0,6395.0,795.0,2520.0,3315.0,9711.0,0.3413654618473896
2021-08-28,4147.0,5474.0,9621.0,2053.0,2530.0,4583.0,14204.0,0.32265558997465504
2021-08-17,3112.0,4349.0,7461.0,891.0,2557.0,3448.0,10910.0,0.3160403299725023
2021-08-18,2344.0,4616.0,6960.0,464.0,1477.0,1942.0,8902.0,0.21815322399460796
2021-08-19,2374.0,3745.0,6119.0,871.0,2053.0,2925.0,9044.0,0.3234188412206988
2021-08-20,2667.0,5733.0,8400.0,852.0,3160.0,4012.0,12412.0,0.323235578472446
2021-08-21,4396.0,6174.0,10570.0,1718.0,4054.0,5772.0,16343.0,0.353178730955149
2021-08-10,1869.0,2927.0,4796.0,495.0,996.0,1491.0,6228.0,0.23940269749518303
2021-08-11,2030.0,2330.0,4361.0,1007.0,1217.0,2224.0,6585.0,0.3377372817008352
2021-08-12,1753.0,2558.0,4311.0,895.0,1462.0,2357.0,6668.0,0.35347930413917217
2021-08-13,2234.0,4691.0,6926.0,814.0,3181.0,3995.0,10920.0,0.3658424908424908
2021-08-14,2283.0,6503.0,8786.0,899.0,2452.0,3350.0,12136.0,0.27603823335530653
2021-08-03,1735.0,2645.0,4381.0,741.0,1451.0,2192.0,6573.0,0.33348547086566255
2021-08-04,2010.0,2359.0,4369.0,937.0,1882.0,2819.0,7189.0,0.39212686048129086
2021-08-05,1871.0,3414.0,5285.0,654.0,2068.0,2722.0,8007.0,0.3399525415261646
2021-08-06,3022.0,5417.0,8439.0,1295.0,3028.0,4323.0,12762.0,0.3387400094029149
2021-08-07,4269.0,5060.0,9329.0,1926.0,2299.0,4225.0,13554.0,0.3117160985686882
2021-07-27,1938.0,3234.0,5172.0,473.0,1952.0,2425.0,7598.0,0.3191629376151619
2021-07-28,2597.0,2756.0,5354.0,639.0,1498.0,2138.0,7493.0,0.2853329774456159
2021-07-29,1817.0,4766.0,6584.0,788.0,2062.0,2850.0,9434.0,0.3020987916048336
2021-07-30,2807.0,4902.0,7709.0,843.0,3617.0,4461.0,12171.0,0.36652699038698544
2021-07-31,3820.0,5408.0,9228.0,1150.0,3117.0,4267.0,13496.0,0.3161677534084173
2021-07-20,2475.0,3206.0,5681.0,773.0,1623.0,2396.0,8077.0,0.2966447938591061
2021-07-21,2302.0,2766.0,5069.0,939.0,1377.0,2316.0,7385.0,0.3136086662153013
2021-07-22,2105.0,3981.0,6086.0,1044.0,2476.0,3520.0,9606.0,0.36643764313970434
2021-07-23,2713.0,4656.0,7369.0,975.0,2539.0,3515.0,10885.0,0.3229214515388149
2021-07-24,4795.0,5837.0,10632.0,1717.0,2915.0,4632.0,15265.0,0.3034392400917131
2021-07-13,2249.0,3185.0,5434.0,708.0,1442.0,2151.0,7585.44,0.2835695753970765
2021-07-14,2015.0,3414.0,5429.0,1142.0,1548.0,2690.0,8119.5,0.3313011884968286
2021-07-15,2199.0,4382.0,6581.0,872.0,2269.0,3142.0,9723.18,0.3231453084279011
2021-07-16,2640.0,5531.0,8172.0,1037.0,3650.0,4687.0,12859.15,0.3644875438889818
2021-07-17,3569.0,5325.0,8895.0,1691.0,3471.0,4862.0,13757.0,0.35342007705168277
2021-07-06,1657.0,1699.0,3356.0,678.0,1254.0,1932.0,5288.0,0.3653555219364599
2021-07-07,962.0,2265.0,3227.0,506.0,925.0,1431.0,4658.0,0.30721339630742805
2021-07-08,2191.0,3784.0,5975.0,600.0,1970.0,2570.0,8544.8,0.300767718378429
2021-07-09,2639.0,5251.0,7890.0,974.0,3702.0,4676.0,12567.3,0.3720767388380957
2021-07-10,3704.0,6395.0,10099.0,1635.0,3493.0,5128.0,15227.28,0.3367640182619614
2021-06-29,2853.0,2577.0,5161.0,834.0,1606.0,2441.0,7602.72,0.32106930151314267
2021-06-30,1795.0,2843.0,4638.0,516.0,1628.0,2145.0,6783.87,0.3161912005978888
2021-07-01,1756.0,3766.0,5522.0,1076.0,999.0,2075.0,7597.15,0.27312873906662366
2021-07-02,2562.0,4851.0,7413.0,1026.0,2722.0,3748.0,11161.87,0.33578602868515756
2021-07-03,4016.0,5201.0,9217.0,1548.0,2671.0,4219.0,13437.1,0.31398143944749984
2021-06-22,2320.0,2912.0,5232.0,501.0,1152.0,1653.0,6885.82,0.24005855511761853
2021-06-23,2270.0,2916.0,5185.0,1089.0,1026.0,2115.0,7300.66,0.2896998353573513
2021-06-24,2223.0,3462.0,5685.0,625.0,1246.0,1872.0,7556.85,0.24772226522955992
2021-06-25,2396.0,5050.0,7447.0,1080.0,3743.0,4823.0,12270.24,0.3930648463273742
2021-06-26,,,10094.0,,,4986.0,15079.76,0.3306418669793153
2021-06-15,1777.0,3349.0,5126.0,498.0,1115.0,1613.0,6739.85,0.23932283359421944
2021-06-16,1721.0,2879.0,4600.0,1043.0,1953.0,2996.0,7595.8,0.3944284999605045
2021-06-17,2118.0,3725.0,5842.0,1003.0,2143.0,3147.0,8989.54,0.35007352990253116
2021-06-18,3204.0,5005.0,8209.0,1183.0,2779.0,3962.0,12171.54,0.3255134518721542
2021-06-19,4183.0,5586.0,9796.0,1354.0,2693.0,4048.0,13817.34,0.29296521617040616
2021-06-08,2062.0,2195.0,4257.0,662.0,1625.0,2288.0,6545.49,0.34955366213988565
2021-06-09,2360.0,2453.0,4812.0,682.0,1160.0,1842.0,6655.83,0.2767498568923786
2021-06-10,1658.0,3415.0,5073.0,448.0,2412.0,2860.0,7933.26,0.3605075341032564
2021-06-11,2315.0,5212.0,7527.0,774.0,2651.0,3335.0,10862.67,0.30701475788180993
2021-06-12,4111.0,4699.0,8810.0,1612.0,3062.0,4674.0,13484.0,0.346633046573717
2021-06-01,1842.0,2089.0,3932.0,717.0,867.0,1584.0,5516.0,0.2871646120377085
2021-06-02,1615.0,2170.0,3785.0,691.0,991.0,1682.0,5467.0,0.3076641668190964
2021-06-03,1786.0,3312.0,5098.0,782.0,1850.0,2632.0,7730.64,0.34046340277131
2021-06-04,2115.0,4354.0,6468.0,868.0,1981.0,2850.0,9318.82,0.3058327127254309
2021-06-05,3281.0,5239.0,8520.0,1390.0,2990.0,4390.0,12900.75,0.34029029320000775
2021-05-25,1725.0,2194.0,3919.0,659.0,1127.0,1787.0,5705.98,0.3131802074315017
2021-05-26,1959.0,2279.0,4238.0,653.0,1664.0,2318.0,6556.35,0.3535503748274573
2021-05-27,2177.0,2814.0,4991.0,618.0,1937.0,2555.0,7545.85,0.33859671210002845
2021-05-28,2154.0,5185.0,7339.0,1285.0,2376.0,3661.0,11000.43,0.33280517216145183
2021-05-29,4019.0,4642.0,8661.0,1283.0,3191.0,4475.0,13136.89,0.34064379012079726
2021-05-18,1516.0,3133.0,4649.0,1290.0,1784.0,3074.0,7724.0,0.3979803210771621
2021-05-19,1326.0,2365.0,3691.0,767.0,2009.0,2776.0,6467.19,0.42924361275917366
2021-05-20,2090.0,2740.0,4830.0,749.0,1885.0,2635.0,7465.05,0.35297821180032285
2021-05-21,2084.0,4415.0,6499.0,1093.0,3275.0,4368.0,10867.32,0.4019390245249059
2021-05-22,3448.0,3981.0,7429.0,1768.0,2630.0,4398.0,11827.49,0.3718455902308943
2021-05-11,1376.0,2412.0,3788.0,674.0,1169.0,1843.0,5632.0,0.3272372159090909
2021-05-12,2075.0,2013.0,4088.0,981.0,1363.0,2344.0,6431.42,0.3644607256251341
2021-05-13,1530.0,3062.0,4592.0,865.0,1725.0,2590.0,7181.84,0.3606318158020786
2021-05-14,2590.0,4790.0,7380.0,1110.0,3232.0,4342.0,11722.05,0.3704130250254862
2021-05-15,3058.0,5117.0,8175.0,1833.0,3267.0,5100.0,13275.01,0.38418050155894423
2021-05-04,1642.0,2450.0,4092.0,716.0,1725.0,2441.0,6533.7,0.3736014815495049
2021-05-05,1465.0,2101.0,3567.0,920.0,1413.0,2333.0,5900.79,0.39537078933498737
2021-05-06,1956.0,2291.0,4247.0,796.0,2411.0,3207.0,7454.41,0.4302151343969543
2021-05-07,2457.0,5465.0,7922.0,1973.0,3564.0,5537.0,13459.76,0.41137434842820375
2021-05-08,3246.0,4205.0,7452.0,1390.0,3642.0,5032.0,12484.08,0.40307335422393964
2021-04-27,2022.0,2812.0,4834.0,966.0,2116.0,3083.0,7916.69,0.3894304311524135
2021-04-28,1855.0,3476.0,5331.0,776.0,2269.0,3045.0,8376.52,0.36351611409033824
2021-04-29,2131.0,3937.0,6068.0,988.0,2748.0,3736.0,9803.84,0.38107517054541895
2021-04-30,2623.0,5182.0,7805.0,1653.0,4536.0,6189.0,13994.92,0.4422318955735367
2021-05-01,4458.0,5504.0,9963.0,2630.0,4269.0,6899.0,16862.44,0.4091341466596768
2021-04-20,1825.0,2739.0,4565.0,646.0,1592.0,2239.0,6804.41,0.3290513064321521
2021-04-21,1968.0,2443.0,4411.0,924.0,1215.0,2139.0,6550.76,0.32652699839407945
2021-04-22,2178.0,2677.0,4855.0,1223.0,1903.0,3127.0,7982.0,0.39175645201703835
2021-04-23,2325.0,4645.0,6969.0,1437.0,3485.0,4923.0,11893.28,0.4139312283911587
2021-04-24,3708.0,5115.0,8823.0,2359.0,3529.0,5888.0,14711.02,0.40024417069652546
2021-04-13,1254.0,2212.0,3466.0,849.0,772.0,1621.0,5086.63,0.31867857500938734
2021-04-14,1742.0,2192.0,3933.0,812.0,1378.0,2191.0,6124.49,0.35774407338406955
2021-04-15,1226.0,2813.0,4039.0,1008.0,1577.0,2586.0,6624.9,0.39034551464927775
2021-04-16,2090.0,3959.0,6049.0,1166.0,3401.0,4567.0,10616.84,0.43016566134556045
2021-04-17,3760.0,5024.0,8784.0,2139.0,3899.0,6039.0,14823.07,0.40740548347946814
2021-04-06,2003.0,2417.0,4420.0,619.0,1413.0,2032.0,6452.0,0.31494110353378796
2021-04-07,1685.0,2380.0,4065.0,960.0,2303.0,3263.0,7328.0,0.44527838427947597
2021-04-08,1905.0,3166.0,5071.0,696.0,1424.0,2120.0,7192.04,0.2947703294197474
2021-04-09,2675.0,4980.0,7655.0,964.0,3828.0,4793.0,12448.08,0.38503929923329544
2021-04-10,2987.0,4390.0,7377.0,1666.0,3827.0,5452.0,12871.64,0.4235668492903779
2021-03-30,1046.0,1942.0,2988.0,776.0,1529.0,2305.0,5293.44,0.43544462580099147
2021-03-31,2123.0,2350.0,4474.0,1062.0,1721.0,2783.0,7257.46,0.3834674941370672
2021-04-01,2066.0,3547.0,5613.0,555.0,1729.0,2284.0,7896.84,0.2892296158969917
2021-04-02,2412.0,4932.0,7344.0,1053.0,3578.0,4631.0,11975.0,0.3867223382045929
2021-04-03,3138.0,4698.0,7836.0,1212.0,2896.0,4108.0,11944.92,0.3439118889033999
