DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-TOT,TOTAL,LSE-PERCENT,LSE-NIGHT
2019-12-26,4530,5518,9998,1827.0,4480,14478,0.3094350048349219,2653.0
2019-12-27,4143,5433,9576,1325.0,4323,13899,0.31102957047269586,2998.0
2019-12-28,5395,5917,11310,1022.0,2852,14162,0.20138398531280893,1830.0
2019-12-17,2416,2258,4674,,1636,6310,0.25927099841521395,
2019-12-18,1510,2561,4071,722.0,1768,5839,0.30279157389964034,1046.0
2019-12-19,1495,2652,4147,715.0,2884,7031,0.41018347319015785,2169.0
2019-12-20,2457,3554,6012,660.0,3041,9053,0.33591074781840274,2381.0
2019-12-21,3766,4446,8213,2061.0,3595,11807,0.30448039298721097,1534.0
2019-12-10,1543,2251,3794,576.0,1623,5417,0.29961233154882777,1047.0
2019-12-11,1979,2967,4946,672.0,2102,7048,0.2982406356413167,1430.0
2019-12-12,2290,3574,5864,933.0,2185,8050,0.2714285714285714,1252.0
2019-12-13,2648,5250,7898,692.0,2936,10834,0.27099870777182944,2244.0
2019-12-14,4396,4835,9231,2201.0,3198,12429,0.257301472363022,997.0
2019-12-03,1160,1774,2934,369.0,1322,4256,0.3106203007518797,953.0
2019-12-04,1985,1955,3940,342.0,1247,5188,0.24036237471087124,905.0
2019-12-05,2008,2753,4761,470.0,1846,6607,0.2794006356894203,1376.0
2019-12-06,2964,4510,7475,762.0,1913,9388,0.2037707711972731,1151.0
2019-12-07,2914,5158,8073,1120.0,2489,10562,0.23565612573376254,1369.0
2019-11-26,2844,3271,6115,530.0,1846,7962,0.23185129364481286,1316.0
2019-11-27,2727,5150,7877,653.0,3034,10911,0.27806800476583265,2381.0
2019-11-29,3742,6474,10216,1470.0,6140,16357,0.37537445741884207,4670.0
2019-11-30,5692,4009,9701,2266.0,3254,12955,0.25117715167888843,988.0
2019-11-19,1152,2435,3587,467.0,1197,4785,0.2501567398119122,730.0
2019-11-20,1687,1728,3415,377.0,1013,4428,0.22877145438121047,636.0
2019-11-21,1278,2387,3665,569.0,1709,5374,0.31801265351693336,1140.0
2019-11-22,2088,4074,6163,729.0,2542,8705,0.2920160827110856,1813.0
2019-11-23,4224,6851,11075,1469.0,3606,14682,0.24560686554965264,2137.0
2019-11-12,1360,1569,2930,419.0,1600,4530,0.35320088300220753,1181.0
2019-11-13,1336,2530,3866,516.0,1443,5309,0.27180259935957807,927.0
2019-11-14,1424,2958,4383,386.0,1480,5863,0.25243049633293535,1094.0
2019-11-15,2386,4470,6857,518.0,2473,9330,0.26505894962486604,1955.0
2019-11-16,3206,4450,7656,1440.0,3382,11038,0.3063960862475086,1942.0
2019-11-05,1560,1591,3151,227.0,711,3863,0.18405384416256795,484.0
2019-11-06,2083,2859,4942,387.0,1577,6519,0.24190826813928518,1190.0
2019-11-07,2413,4404,6817,415.0,2598,9415,0.2759426447158789,2183.0
2019-11-08,3128,7783,10911,660.0,4361,15272,0.2855552645364065,3701.0
2019-11-09,5148,7433,12582,2382.0,6403,18985,0.3372662628390835,4021.0
2019-10-29,1515,2563,4078,450.0,1023,5102,0.2005096040768326,573.0
2019-10-30,1651,2629,4281,566.0,1576,5857,0.2690797336520403,1010.0
2019-10-31,1839,2862,4701,514.0,1709,6410,0.26661466458658345,1195.0
2019-11-01,3147,5713,8860,643.0,2742,11602,0.23633856231684192,2099.0
2019-11-02,3316,4677,7993,697.0,1062,9753,0.10888957243924946,365.0
2019-10-22,1690,2624,4314,658.0,1806,6120,0.2950980392156863,1148.0
2019-10-23,1880,2367,4247,302.0,1835,6083,0.30166036495150417,1533.0
2019-10-24,1124,3253,4377,294.0,1105,5482,0.2015687705217074,811.0
2019-10-25,2681,4550,7231,992.0,2831,10062,0.28135559530908366,1839.0
2019-10-26,4247,6043,10290,822.0,3080,13370,0.23036649214659685,2258.0
2019-10-15,1524,2507,4031,366.0,1151,5182,0.22211501350829796,785.0
2019-10-16,1894,3067,4961,410.0,2458,7419,0.3313114975064025,2048.0
2019-10-17,3007,3245,6252,665.0,2012,8264,0.24346563407550822,1347.0
2019-10-18,3084,5012,8097,972.0,1955,10052,0.19448865897333864,983.0
2019-10-19,3519,5769,9288,1514.0,3533,12821,0.2755635285859137,2019.0
2019-10-08,1080,2255,3335,477.0,1714,5050,0.33940594059405943,1237.0
2019-10-09,1402,2523,3952,351.0,1437,5362,0.2679970160387915,1086.0
2019-10-10,1472,3315,4787,812.0,1874,6662,0.28129690783548483,1062.0
2019-10-11,1624,5186,6810,873.0,2716,9526,0.285114423682553,1843.0
2019-10-12,3463,5179,8642,983.0,2057,10699,0.19226095896812787,1074.0
2019-10-01,1960,2115,4075,282.0,912,4988,0.18283881315156375,630.0
2019-10-02,1058,2725,3783,200.0,1447,5231,0.27662014911106864,1247.0
2019-10-03,1539,3391,5530,473.0,2069,7399,0.27963238275442626,1596.0
2019-10-04,4124,7236,11360,903.0,4730,16090,0.2939714108141703,3827.0
2019-10-05,4444,6270,10714,728.0,3292,14006,0.23504212480365558,2564.0
2019-09-24,1416,2474,3891,423.0,1517,5408,0.2805103550295858,1094.0
2019-09-25,1550,2558,4108,438.0,1765,5874,0.30047667688117125,1327.0
2019-09-26,1874,3133,5007,484.0,1367,6374,0.21446501411986194,883.0
2019-09-27,2861,6892,9753,1116.0,4035,13789,0.29262455580535207,2919.0
2019-09-28,4525,6654,11178,1479.0,4346,15524,0.27995362020097914,2867.0
2019-09-17,1981,2204,4185,321.0,1091,5276,0.20678544351781653,770.0
2019-09-18,1562,2920,4482,,1488,5970,0.2492462311557789,
2019-09-19,1629,3416,5046,341.0,2312,7358,0.3142158195161729,1971.0
2019-09-20,2349,5753,8102,518.0,3115,11217,0.27770348578051174,2597.0
2019-09-21,3545,7045,10590,1842.0,5582,16172,0.34516448182043036,3740.0
2019-09-10,1651,2160,3811,179.0,1783,5594,0.31873435824097246,1604.0
2019-09-11,1670,1987,3657,275.0,1452,5109,0.28420434527304755,1177.0
