2018,DATE,LUNCH,DINNER,SATCH Z,LSE DAY,lse night,LSE,TOTAL,Notes or Cater,,,,
Wednesday,9/26/2018,2052,2396,4448,297,,1290,5738,,,,,
Thursday,9/27/2018,1853,2414,4268,338,,1436,5704,,,,,
Friday,9/28/2018,1946,5722,7668,no day Z,,3075,10743,,,,,
Saturday,9/29/2018,4394,4489,8884,no day Z,,2472,11356,,,,,
total,,,,,,,9377,38275,,,,,
LSE%,,,,,,,25%,,,,,,
Tuesday,9/18/2018,1312,1897,3209,342,,1175,4384,,,,,
Wednesday,9/19/2018,1722,2415,4138,274,,811,4949,,,,,
Thursday,9/20/2018,1540,2534,4074,209,,1808,5882,,,,,
Friday,9/21/2018,1818,4920,6738,318,,1895,8633,,,,,
Saturday,9/22/2018,3509,5622,9131,???,,1840,10971,,,,,
total,,,,,,,7529,34819,,,,,
LSE%,,,,,,,22%,,,,,,
Tuesday,9/11/2018,1447,2222,3669,329,,1010,4679,,,,,
Wednesday,9/12/2018,1654,1936,3590,252,,1434,5024,325 day cater not on Z,,,,
Thursday,9/13/2018,1414,3038,4453,303,,1287,5740,,,,,
Friday,9/14/2018,2002,6289,8291,315,,3241,11532,,,,,
Saturday,9/15/2018,3796,5254,9050,1170,,2939,11989,295 day 910 nite not on Z,,,,
total,,,,,,,9911,38964,,,,,
LSE%,,,,,,,26%,,40494,,,,
Tuesday,9/4/2018,1210,2373,3583,103,,587,4170,,,,,
Wednesday,9/5/2018,1340,2116,3456,129,,690,4146,,,,,
Thursday,9/6/2018,1507,2616,4123,220,,1220,5243,,,,,
Friday,9/7/2018,2270,5265,7535,426,,2247,9782,,,,,
Saturday,9/8/2018,4487,4407,8897,920,,1695,10592,,,,,
total,,,,,,,6439,33933,,,,,
LSE%,,,,,,,19%,,,,,,
Tuesday,8/28/2018,1690,1795,3485,180,,892,4377,,,,,
Wednesday,8/29/2018,1701,2273,3974,218,,1575,5549,,,,,
Thursday,8/30/2018,1659,2543,4202,331,,1337,5540,,,,,
Friday,8/31/2018,2394,5542,7936,680,,1881,9817,day cater 250 not on Z,,,,
Saturday,9/1/2018,4072,4799,8871,921,,1882,10753,,,,,
total,,,,,,,7567,36036,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,8/21/2018,2284,3330,5614,223,,1521,7135,,,,,
Wednesday,8/22/2018,1479,2620,4099,280,,1261,5360,,,,,
Thursday,8/23/2018,1762,3215,4977,190,,1365,6342,,,,,
Friday,8/24/2018,2121,4274,6395,624,,1939,8334,,,,,
Saturday,8/25/2018,4234,5824,10058,822,,2054,12113,,,,,
total,,,,,,,8140,39284,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,8/14/2018,2106,2198,4304,247,,1689,5993,,,,,
Wednesday,8/15/2018,1464,3664,5128,146,,676,5804,1020 day cater not on Z,,,,
Thursday,8/16/2018,2323,3955,6278,254,,1425,7703,,,,,
Friday,8/17/2018,3800,5699,9499,392,,1981,11480,1000 nite cater not on Z,,,,
Saturday,8/18/2018,4516,6049,10565,1084,,3625,14190,,,,,
total,,,,,,,9396,45170,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,8/7/2018,2223,3845,6068,280,,1171,7240,,,,,
