DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-TOT,TOTAL,LSE-PERCENT,LSE-NIGHT
2018-09-25,1387.0,2243.0,3630,502.0,1104,4734,0.2332065906210393,602.0
2018-09-26,2052.0,2396.0,4448,297.0,1290,5738,0.22481700941094457,993.0
2018-09-27,1853.0,2414.0,4268,338.0,1436,5704,0.2517531556802244,1098.0
2018-09-28,1946.0,5722.0,7668,,3075,10743,0.28623289583915107,
2018-09-29,4394.0,4489.0,8884,,2472,11356,0.21768228249383587,
2018-09-18,1312.0,1897.0,3209,342.0,1175,4384,0.26802007299270075,833.0
2018-09-19,1722.0,2415.0,4138,274.0,811,4949,0.1638714891897353,537.0
2018-09-20,1540.0,2534.0,4074,209.0,1808,5882,0.3073784427065624,1599.0
2018-09-21,1818.0,4920.0,6738,318.0,1895,8633,0.21950654465423375,1577.0
2018-09-22,3509.0,5622.0,9131,,1840,10971,0.16771488469601678,
2018-09-11,1447.0,2222.0,3669,329.0,1010,4679,0.21585808933532807,681.0
2018-09-12,1654.0,1936.0,3590,252.0,1434,5024,0.2854299363057325,1182.0
2018-09-13,1414.0,3038.0,4453,303.0,1287,5740,0.22421602787456446,984.0
2018-09-14,2002.0,6289.0,8291,315.0,3241,11532,0.2810440513354145,2926.0
2018-09-15,3796.0,5254.0,9050,1170.0,2939,11989,0.2451413795979648,1769.0
2018-09-04,1210.0,2373.0,3583,103.0,587,4170,0.1407673860911271,484.0
2018-09-05,1340.0,2116.0,3456,129.0,690,4146,0.16642547033285093,561.0
2018-09-06,1507.0,2616.0,4123,220.0,1220,5243,0.2326912073240511,1000.0
2018-09-07,2270.0,5265.0,7535,426.0,2247,9782,0.22970762625230015,1821.0
2018-09-08,4487.0,4407.0,8897,920.0,1695,10592,0.16002643504531722,775.0
2018-08-28,1690.0,1795.0,3485,180.0,892,4377,0.20379255197623944,712.0
2018-08-29,1701.0,2273.0,3974,218.0,1575,5549,0.28383492521174986,1357.0
2018-08-30,1659.0,2543.0,4202,331.0,1337,5540,0.24133574007220215,1006.0
2018-08-31,2394.0,5542.0,7936,680.0,1881,9817,0.19160639706631355,1201.0
2018-09-01,4072.0,4799.0,8871,921.0,1882,10753,0.17502092439319258,961.0
2018-08-21,2284.0,3330.0,5614,223.0,1521,7135,0.21317449194113525,1298.0
2018-08-22,1479.0,2620.0,4099,280.0,1261,5360,0.23526119402985074,981.0
2018-08-23,1762.0,3215.0,4977,190.0,1365,6342,0.2152317880794702,1175.0
2018-08-24,2121.0,4274.0,6395,624.0,1939,8334,0.2326613870890329,1315.0
2018-08-25,4234.0,5824.0,10058,822.0,2054,12113,0.1695698835961364,1232.0
2018-08-14,2106.0,2198.0,4304,247.0,1689,5993,0.28182880026697815,1442.0
2018-08-15,1464.0,3664.0,5128,146.0,676,5804,0.11647139903514818,530.0
2018-08-16,2323.0,3955.0,6278,254.0,1425,7703,0.18499285992470466,1171.0
2018-08-17,3800.0,5699.0,9499,392.0,1981,11480,0.17256097560975608,1589.0
2018-08-18,4516.0,6049.0,10565,1084.0,3625,14190,0.255461592670895,2541.0
2018-08-07,2223.0,3845.0,6068,280.0,1171,7240,0.1617403314917127,891.0
2018-08-08,2501.0,2907.0,5409,302.0,1592,7001,0.2273960862733895,1290.0
2018-08-09,2276.0,4378.0,6654,370.0,1697,8351,0.20320919650341276,1327.0
2018-08-10,2995.0,5631.0,8626,711.0,2648,11274,0.2348767074685116,1937.0
2018-08-11,5046.0,5750.0,10796,1472.0,2957,13753,0.2150076346978841,1485.0
2018-07-31,2031.0,3719.0,5750,177.0,1093,6843,0.15972526669589363,916.0
2018-08-01,2381.0,3204.0,5585,287.0,1205,6790,0.17746686303387335,918.0
2018-08-02,2771.0,3458.0,6229,332.0,1051,7280,0.14436813186813185,719.0
2018-08-03,2778.0,5256.0,8034,550.0,3433,11467,0.29938083195255955,2883.0
2018-08-04,3210.0,5106.0,8316,358.0,1568,9885,0.15862417804754678,1210.0
2018-07-24,1903.0,2632.0,4536,340.0,809,5345,0.15135640785781104,469.0
2018-07-25,2359.0,2877.0,5236,272.0,1452,6689,0.21707280609956645,1180.0
2018-07-26,2231.0,3455.0,5686,330.0,1292,6978,0.18515333906563486,962.0
2018-07-27,2813.0,5452.0,8265,857.0,3406,11671,0.2918344614857339,2549.0
2018-07-28,3320.0,5900.0,9220,905.0,3360,12580,0.2670906200317965,2455.0
2018-07-17,1864.0,2784.0,4648,533.0,1515,6164,0.24578195976638548,982.0
2018-07-18,1782.0,3372.0,5155,320.0,1143,6298,0.18148618609082248,823.0
2018-07-19,1730.0,3399.0,5130,353.0,2218,7348,0.30185084376701143,1865.0
2018-07-20,2339.0,5463.0,7802,534.0,1745,9548,0.18276078759949727,1211.0
2018-07-21,4687.0,5612.0,10299,1298.0,2942,13241,0.22218865644588778,1644.0
2018-07-10,1847.0,2739.0,4587,,1480,6067,0.24394264051425746,
2018-07-11,1301.0,3549.0,4850,176.0,1676,6526,0.2568188783328226,1500.0
2018-07-12,2054.0,4250.0,6259,297.0,1958,8218,0.23825748357264542,1661.0
2018-07-13,2599.0,5470.0,8069,691.0,3042,11111,0.2737827378273783,2351.0
2018-07-14,4013.0,5764.0,9777,1068.0,3771,13549,0.27832312347774746,2703.0
2018-07-03,2067.0,3892.0,5959,259.0,1425,7385,0.1929587000677048,1166.0
2018-07-04,1936.0,2717.0,4653,96.0,424,5078,0.08349743993698307,328.0
2018-07-05,2245.0,2792.0,5037,260.0,592,5630,0.10515097690941386,332.0
2018-07-06,3204.0,4953.0,8157,700.0,2622,10780,0.24322820037105752,1922.0
2018-07-07,3340.0,6116.0,9456,626.0,2387,11844,0.20153664302600474,1761.0
2018-06-26,1860.0,3089.0,4949,313.0,1446,6395,0.22611415168100077,1133.0
2018-06-27,1846.0,2482.0,4329,418.0,1465,5795,0.2528041415012942,1047.0
