DATE,LUNCH,DINNER,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,352,
8/27/2021,1975,4420,6395,795,2520,3315,9711,,
8/28/2021,4147,5474,9621,2053,2530,4583,14204,,
,,,,,,13744,42098,,
,,,,,,33%,,,
8/17/2021,3112,4349,7461,891,2557,3448,10910,!!!!!!!,
8/18/2021,2344,4616,6960,464,1477,1942,8902,Students,
8/19/2021,2374,3745,6119,871,2053,2925,9044,Moving ,
8/20/2021,2667,5733,8400,852,3160,4012,12412,Into ,
8/21/2021,4396,6174,10570,1718,4054,5772,16343,Town,
,,,,,,18099,57611,,
,,,,,,31%,,,
8/10/2021,1869,2927,4796,495,996,1491,6228,,
8/11/2021,2030,2330,4361,1007,1217,2224,6585,,
8/12/2021,1753,2558,4311,895,1462,2357,6668,,
8/13/2021,2234,4691,6926,814,3181,3995,10920,,
8/14/2021,2283,6503,8786,899,2452,3350,12136,,
,,,,,,13417,42537,,
,,,,,,32%,,,
8/3/2021,1735,2645,4381,741,1451,2192,6573,,
8/4/2021,2010,2359,4369,937,1882,2819,7189,,
8/5/2021,1871,3414,5285,654,2068,2722,8007,,
8/6/2021,3022,5417,8439,1295,3028,4323,12762,,
8/7/2021,4269,5060,9329,1926,2299,4225,13554,,
,,,,,,16282,48086,,
,,,,,,39%,,,
7/27/2021,1938,3234,5172,473,1952,2425,7598,,
7/28/2021,2597,2756,5354,639,1498,2138,7493,,
7/29/2021,1817,4766,6584,788,2062,2850,9434,,
7/30/2021,2807,4902,7709,843,3617,4461,12171,,
7/31/2021,3820,5408,9228,1150,3117,4267,13496,,
,,,,,,16141,50192,,
,,,,,,32%,,,
7/20/2021,2475,3206,5681,773,1623,2396,8077,,
7/21/2021,2302,2766,5069,939,1377,2316,7385,,
7/22/2021,2105,3981,6086,1044,2476,3520,9606,,
7/23/2021,2713,4656,7369,975,2539,3515,10885,,
7/24/2021,4795,5837,10632,1717,2915,4632,15265,,
,,,,,,16379,51213,,
,,,,,,32 %,,,
7/13/2021,2249,3185,5434,708,1442,2151,7585.44,,
7/14/2021,2015,3414,5429,1142,1548,2690,8119.5,,
7/15/2021,2199,4382,6581,872,2269,3142,9723.18,,
7/16/2021,2640,5531,8172,1037,3650,4687,12859.15,,
7/17/2021,3569,5325,8895,1691,3471,4862,13757,,
,,,,,,17532,52043,,
,,,,,,34%,,,
7/6/2021,1657,1699,3356,678,1254,1932,5288,,
7/7/2021,962,2265,3227,506,925,1431,4658,320,
7/8/2021,2191,3784,5975,600,1970,2570,8544.8,358.99,
7/9/2021,2639,5251,7890,974,3702,4676,12567.3,,
7/10/2021,3704,6395,10099,1635,3493,5128,15227.28,,
,,,,,,15737,46285.38,,
,,,,,,34%,,,
6/29/2021,2853,2577,5161,834,1606,2441,7602.72,215.35,
6/30/2021,1795,2843,4638,516,1628,2145,6783.87,,
7/1/2021,1756,3766,5522,1076,999,2075,7597.15,350.98,
7/2/2021,2562,4851,7413,1026,2722,3748,11161.87,187.25,
7/3/2021,4016,5201,9217,1548,2671,4219,13437.1,440.33,
,,,,,,14628,46582.71,,
,,,,,,31%,,,
6/22/2021,2320,2912,5232,501,1152,1653,6885.82,238.61,
6/23/2021,2270,2916,5185,1089,1026,2115,7300.66,80.25,
6/24/2021,2223,3462,5685,625,1246,1872,7556.85,231.66,
6/25/2021,2396,5050,7447,1080,3743,4823,12270.24,,
6/26/2021,Comp,Down,10094,comp ,down,4986,15079.76,223.63,
,,,,,,15449,49093.33,,
,,,,,,31%,,,
6/15/2021,1777,3349,5126,498,1115,1613,6739.85,377.19,
6/16/2021,1721,2879,4600,1043,1953,2996,7595.8,257.35,
6/17/2021,2118,3725,5842,1003,2143,3147,8989.54,177.63,
6/18/2021,3204,5005,8209,1183,2779,3962,12171.54,,
6/19/2021,4183,5586,9796,1354,2693,4048,13817.34,522.17,
,,,,,,15766,49314.07,,
,,,,,,32%,,,
6/8/2021,2062,2195,4257,662,1625,2288,6545.49,216.42,
6/9/2021,2360,2453,4812,682,1160,1842,6655.83,462.79,
6/10/2021,1658,3415,5073,448,2412,2860,7933.26,229,
6/11/2021,2315,5212,7527,774,2651,3335,10862.67,656.46,
6/12/2021,4111,4699,8810,1612,3062,4674,13484,371.83,
,,,,,,14999,45481.25,1936.5,
,,,,,,33%,,,
6/1/2021,1842,2089,3932,717,867,1584,5516,132.15,
6/2/2021,1615,2170,3785,691,991,1682,5467,195.82,
6/3/2021,1786,3312,5098,782,1850,2632,7730.64,149.81,
6/4/2021,2115,4354,6468,868,1981,2850,9318.82,342.41,
6/5/2021,3281,5239,8520,1390,2990,4390,12900.75,319.41,
,,,,,,13138,40933.21,1139.6,
,,,,,,32%,,,
5/25/2021,1725,2194,3919,659,1127,1787,5705.98,247.72,
5/26/2021,1959,2279,4238,653,1664,2318,6556.35,393.77,
5/27/2021,2177,2814,4991,618,1937,2555,7545.85,99.51,
5/28/2021,2154,5185,7339,1285,2376,3661,11000.43,604.57,
5/29/2021,4019,4642,8661,1283,3191,4475,13136.89,607.77,
,,,,,,14796,43945.5,1953.34,
,,,,,,37%,,,
5/18/2021,1516,3133,4649,1290,1784,3074,7724,181.37,
5/19/2021,1326,2365,3691,767,2009,2776,6467.19,198.49,
5/20/2021,2090,2740,4830,749,1885,2635,7465.05,296.41,
5/21/2021,2084,4415,6499,1093,3275,4368,10867.32,637.21,
5/22/2021,3448,3981,7429,1768,2630,4398,11827.49,284.11,
,,,,,,17251,44351.05,1597.59,
,,,,,,39%,,,
