DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
10/14/2022,3740,7808,11548,1282,6034,7316,18864,,,,,,,,,,,,,,,,
10/15/2022,5666,4864,10531,3231,2096,5327,15857,,,,,,,,,,,,,,,,
,,,,,,19367,60021,,,,,,,,,,,,,,,,
,,,,,,32%,,,,,,,,,,,,,,,,,
10/4/2022,2120,2554,4674,856,1562,2418,7092,,,,,,,,,,,,,,,,
10/5/2022,2308,2891,5198,1129,1714,2843,8041,,,,,,,,,,,,,,,,
10/6/2022,1744,4405,6149,1142,1788,2930,9080,,,,,,,,,,,,,,,,
10/7/2022,4707,6524,11232,2092,3988,6080,17312,,,,,,,,,,,,,,,,
10/8/2022,4573,6756,11329,3494,3587,7080,18409,,,,,,,,,,,,,,,,
,,,,,,21351,59934,,,,,,,,,,,,,,,,
,,,,,,36%,,,,,,,,,,,,,,,,,
9/27/2022,1729,3568,5297,988,1714,2702,7999,,,,,,,,,,,,,,,,
9/28/2022,1424,1542,2966,603,1124,1727,4694,IAN,,,,,,,,,,,,,,,
9/29/2022,1288,3488,4777,1010,2034,3045,7822,,,,,,,,,,,,,,,,14
9/30/2022,2546,5385,7932,1010,2909,3919,11851,,,,,,,,,,,,,,,,
10/1/2022,4328,5597,9925,1567,2737,4304,14229,sunday football game,,,,,,,,,,,,,,,
,,,,,,15697,46595,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
9/20/2022,2551,2437,4988,950,1295,2245,7233,,,,,,,,,,,,,,,,
9/21/2022,1823,2541,4364,836,1187,2023,6387,,,,,,,,,,,,,,,,
9/22/2022,2203,3817,6019,366,2800,3166,9185,,,,,,,,,,,,,,,,
9/23/2022,2455,5470,7925,1252,2807,4059,11984,,,,,,,,,,,,,,,,
9/24/2022,4900,5420,10320,2426,2956,5384,15705,,,,,,,,,,,,,,,,
,,,,,,16877,50494,,,,,,,,,,,,,,,,
,,,,,,33%,,,,,,,,,,,,,,,,,
9/13/2022,2867,2549,5415,378,1616,1991,7406,,,,,,,,,,,,,,,,
9/14/2022,2638,3168,5806,1148,2051,3199,9005,,,,,,,,,,,,,,,,
9/15/2022,1988,3551,5539,843,2586,3428,8967,,,,,,,,,,,,,,,,
