DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
1/21/2022,2610,5391,8001,1137,3299,4436,12437,,,,,,,,,,,,,,,,
1/22/2022,3956,5157,9003,1945,2842,4787,13901,,,,,,,,,,,,,,,,
,,,,,,15419,44353,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
1/11/2022,1734,1848,3582,474,1124,1598,5180,,,,,,,,,,,,,,,,
1/12/2022,2321,2065,4386,1004,1576,2579,6965,,,,,,,,,,,,,,,,
1/13/2022,2139,2986,5125,839,1013,1852,6978,,,,,,,,,,,,,,,,
1/14/2022,2757,5006,7763,1526,4266,5792,13555,,,,,,,,,,,,,,,,
1/15/2022,4017,5538,9555,1959,3007,4966,14521,,,,,,,,,,,,,,,,
,,,,,,16787,47199,,,,,,,,,,,,,,,,
,,,,,,36%,,,,,,,,,,,,,,,,,
1/4/2022,2504,2877,5382,878,1893,2771,8152,,,,,,,,,,,,,,,,
1/5/2022,2087,2738,4825,574,1536,2110,6935,,,,,,,,,,,,,,,,
1/6/2022,1629,3062,4691,797,1712,2509,7200,,,,,,,,,,,,,,,,
1/7/2022,2621,5420,8041,984,2872,3857,11898,,,,,,,,,,,,,,,,
1/8/2022,3766,4812,8578,1959,3000,4961,13536,,,,,,,,,,,,,,,,
,,,,,,16208,47721,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
