DATE,LUNCH,DINNER,SATCH Z,LSE day,LSE TOTAL,TOTAL,352,352 + TOTAL,BYPPO,LOLO,Paypal-gross
10/2/2020,1391,2608,3999,1141,4959,8959.08,606.17,,47.62,,
10/3/2020,2013,3208,5222,2111,5768,10990.86,778.99,,,,
,,,,,17563,34278.22,1927.66,36205.88,72411.76,,
,,,,,47%,,,,,,
9/22/2020,894,1155,2049,709,1841,3890.66,255.2,,,,
9/23/2020,1068,1067,2135,838,2419,4554.31,342.41,,,,
9/24/2020,1218,1564,2783,821,3041,5824.82,216.14,,,,
9/25/2020,949,3756,4705,773,5069,9774.37,394.84,,,,
9/26/2020,1758,3600,5588,1587,5718,11076,910.39,,,,
,,,,,5718,35118,2118.98,,,,
,,,,,,,,,,,
9/15/2020,525,795,1320,637,2110,3430.77,95.24,,,,
9/16/2020,794,1589,2383,671,2151,4535.23,255.74,,,,
9/17/2020,756,1371,2127,688,2130,4256.75,184.59,,,,
9/18/2020,1095,2256,3351,1174,5049,8400.79,354.44,,,,
9/19/2020,2097,3059,5156,2426,6185,11341.86,337.86,weird Byppo? cash? ,,,
,,,,,17625,31965.4,1227.87,,,,
,,,,,,,,,,,
9/8/2020,769,1349,2119,610,1603,3722,333.32,,,,
9/9/2020,1009,1259,2268,871,2656,4925,87.21,,,,
9/10/2020,849,1121,1971,685,2394,4364.8,368.63,,,,
9/11/2020,1199,2739,3939,917,5199,9138.72,522.18,,,,
9/12/2020,2479,2937,5417,2141,5004,10420.84,591.2,,,,
,,,,,16856,32571.36,1902.54,,,,
,,,,,,,,,,,
9/1/2020,826,1492,2318,408,1476,3794.39,216.15,CATER 324.50 added to Z due from PP,,,
9/2/2020,890,1182,2072,916,2676,4748.64,300.95,THIS WAS ALL JAY Z,,,
9/3/2020,837,1270,2107,863,2754,4861.97,212.93,,35.72,,
9/4/2020,1168,2747,3916,1777,5900,9816.24,513.34,,,,
9/5/2020,2472,3657,6129,1932,6269,12399.21,331.71,,,,
,,,,,19075,35620.45,1575.08,,,,
,,,,,54%,87% of 2019,,,,,
8/25/2020,1184,2036,3221,776,2213,5434.46,416.49,0,74.04,,
8/26/2020,1608,2421,4030,994,2762,6725.21,539.83,all J Z,,,
8/27/2020,1524,2205,3729,558,3548,7288.65,431.49,,51.36,,
8/28/2020,1581,3604,5185,1225,5731,10915.74,497.03,,,,
8/29/2020,2465,3489,5954,1941,6736,12690.54,382.54,,46.01,,
,,,,,20990,43054.6,2267.38,,,,
,,,,,49%,up 17% OVER 2019,,,,,
8/18/2020,917,1954,3571,495,2548,6120.13,307.1,1451.32,,,
8/19/2020,1280,1680,2960,751,2790,5751,93.1,47.11,,,
8/20/2020,1148,2128,3276,929,2586,5862.46,405,0,,,
8/21/2020,1901,3414,5315,no day z,5439,10754.83,603.78,0,,,
8/22/2020,2675,3046,5787,2160,5639,11426.99,540.36,243.99,,,
,,,,,19002,39915.41,1949.34,,,,
,,,,,48% total sales,,,,,,
8/11/2020,832,1994,2883,504,2303,5187.19,574.08,202.99 (added to total),,,
8/12/2020,974,1387,2820,526,1948,4768.64,211.86,873.62 (added to total),,,
